,Value,Anomaly,year,Month,county
97,1.53,-1.81,1903,February,Alameda
98,6.99,4.12,1903,March,Alameda
99,0.74,-0.6,1903,April,Alameda
100,0.01,-0.57,1903,May,Alameda
101,0.0,-0.14,1903,June,Alameda
102,0.0,-0.01,1903,July,Alameda
103,0.0,-0.03,1903,August,Alameda
104,0.0,-0.22,1903,September,Alameda
105,0.19,-0.73,1903,October,Alameda
106,2.92,0.81,1903,November,Alameda
107,0.9,-2.32,1903,December,Alameda
108,1.23,-2.74,1904,January,Alameda
109,5.33,1.99,1904,February,Alameda
110,5.57,2.7,1904,March,Alameda
111,2.01,0.67,1904,April,Alameda
112,0.27,-0.31,1904,May,Alameda
113,0.0,-0.14,1904,June,Alameda
114,0.0,-0.01,1904,July,Alameda
115,0.24,0.21,1904,August,Alameda
116,1.24,1.02,1904,September,Alameda
117,2.07,1.15,1904,October,Alameda
118,1.41,-0.7,1904,November,Alameda
119,2.57,-0.65,1904,December,Alameda
120,3.67,-0.3,1905,January,Alameda
121,3.21,-0.13,1905,February,Alameda
122,4.29,1.42,1905,March,Alameda
123,1.16,-0.18,1905,April,Alameda
124,2.64,2.06,1905,May,Alameda
125,0.0,-0.14,1905,June,Alameda
126,0.0,-0.01,1905,July,Alameda
127,0.0,-0.03,1905,August,Alameda
128,0.01,-0.21,1905,September,Alameda
129,0.0,-0.92,1905,October,Alameda
130,1.86,-0.25,1905,November,Alameda
131,1.49,-1.73,1905,December,Alameda
132,5.85,1.88,1906,January,Alameda
133,3.42,0.08,1906,February,Alameda
134,6.76,3.89,1906,March,Alameda
135,1.14,-0.2,1906,April,Alameda
136,1.9,1.32,1906,May,Alameda
137,0.66,0.52,1906,June,Alameda
138,0.0,-0.01,1906,July,Alameda
139,0.01,-0.02,1906,August,Alameda
140,0.21,-0.01,1906,September,Alameda
141,0.01,-0.91,1906,October,Alameda
142,1.54,-0.57,1906,November,Alameda
143,8.29,5.07,1906,December,Alameda
144,5.68,1.71,1907,January,Alameda
145,2.6,-0.74,1907,February,Alameda
146,9.79,6.92,1907,March,Alameda
147,0.51,-0.83,1907,April,Alameda
148,0.16,-0.42,1907,May,Alameda
149,0.71,0.57,1907,June,Alameda
150,0.0,-0.01,1907,July,Alameda
151,0.0,-0.03,1907,August,Alameda
152,0.11,-0.11,1907,September,Alameda
153,1.31,0.39,1907,October,Alameda
154,0.06,-2.05,1907,November,Alameda
155,4.75,1.53,1907,December,Alameda
156,3.52,-0.45,1908,January,Alameda
157,2.61,-0.73,1908,February,Alameda
158,1.13,-1.74,1908,March,Alameda
159,0.31,-1.03,1908,April,Alameda
160,0.71,0.13,1908,May,Alameda
161,0.01,-0.13,1908,June,Alameda
162,0.0,-0.01,1908,July,Alameda
163,0.0,-0.03,1908,August,Alameda
164,0.11,-0.11,1908,September,Alameda
165,0.41,-0.51,1908,October,Alameda
166,1.15,-0.96,1908,November,Alameda
167,2.13,-1.09,1908,December,Alameda
168,12.42,8.45,1909,January,Alameda
169,5.92,2.58,1909,February,Alameda
170,2.86,-0.01,1909,March,Alameda
171,0.0,-1.34,1909,April,Alameda
172,0.0,-0.58,1909,May,Alameda
173,0.08,-0.06,1909,June,Alameda
174,0.0,-0.01,1909,July,Alameda
175,0.0,-0.03,1909,August,Alameda
176,0.88,0.66,1909,September,Alameda
177,0.91,-0.01,1909,October,Alameda
178,2.2,0.09,1909,November,Alameda
179,6.84,3.62,1909,December,Alameda
180,3.33,-0.64,1910,January,Alameda
181,1.44,-1.9,1910,February,Alameda
182,3.17,0.3,1910,March,Alameda
183,0.21,-1.13,1910,April,Alameda
184,0.0,-0.58,1910,May,Alameda
185,0.04,-0.1,1910,June,Alameda
186,0.0,-0.01,1910,July,Alameda
187,0.0,-0.03,1910,August,Alameda
188,0.13,-0.09,1910,September,Alameda
189,0.39,-0.53,1910,October,Alameda
190,0.3,-1.81,1910,November,Alameda
191,1.51,-1.71,1910,December,Alameda
192,13.47,9.5,1911,January,Alameda
193,1.97,-1.37,1911,February,Alameda
194,5.41,2.54,1911,March,Alameda
195,1.07,-0.27,1911,April,Alameda
196,0.37,-0.21,1911,May,Alameda
197,0.1,-0.04,1911,June,Alameda
198,0.0,-0.01,1911,July,Alameda
199,0.0,-0.03,1911,August,Alameda
200,0.0,-0.22,1911,September,Alameda
201,0.55,-0.37,1911,October,Alameda
202,0.53,-1.58,1911,November,Alameda
203,2.26,-0.96,1911,December,Alameda
204,2.86,-1.11,1912,January,Alameda
205,0.38,-2.96,1912,February,Alameda
206,2.92,0.05,1912,March,Alameda
207,1.8,0.46,1912,April,Alameda
208,1.23,0.65,1912,May,Alameda
209,0.68,0.54,1912,June,Alameda
210,0.0,-0.01,1912,July,Alameda
211,0.0,-0.03,1912,August,Alameda
212,0.67,0.45,1912,September,Alameda
213,0.56,-0.36,1912,October,Alameda
214,0.91,-1.2,1912,November,Alameda
215,0.77,-2.45,1912,December,Alameda
216,3.17,-0.8,1913,January,Alameda
217,0.41,-2.93,1913,February,Alameda
218,1.73,-1.14,1913,March,Alameda
219,0.69,-0.65,1913,April,Alameda
220,0.8,0.22,1913,May,Alameda
221,0.05,-0.09,1913,June,Alameda
222,0.07,0.06,1913,July,Alameda
223,0.03,0.0,1913,August,Alameda
224,0.0,-0.22,1913,September,Alameda
225,0.05,-0.87,1913,October,Alameda
226,4.3,2.19,1913,November,Alameda
227,4.17,0.95,1913,December,Alameda
228,9.8,5.83,1914,January,Alameda
229,3.39,0.05,1914,February,Alameda
230,0.81,-2.06,1914,March,Alameda
231,1.14,-0.2,1914,April,Alameda
232,0.43,-0.15,1914,May,Alameda
233,0.32,0.18,1914,June,Alameda
234,0.0,-0.01,1914,July,Alameda
235,0.0,-0.03,1914,August,Alameda
236,0.01,-0.21,1914,September,Alameda
237,0.72,-0.2,1914,October,Alameda
238,0.49,-1.62,1914,November,Alameda
239,5.86,2.64,1914,December,Alameda
240,5.44,1.47,1915,January,Alameda
241,6.8,3.46,1915,February,Alameda
242,2.06,-0.81,1915,March,Alameda
243,0.95,-0.39,1915,April,Alameda
244,3.16,2.58,1915,May,Alameda
245,0.0,-0.14,1915,June,Alameda
246,0.0,-0.01,1915,July,Alameda
247,0.01,-0.02,1915,August,Alameda
248,0.02,-0.2,1915,September,Alameda
249,0.01,-0.91,1915,October,Alameda
250,0.74,-1.37,1915,November,Alameda
251,5.94,2.72,1915,December,Alameda
252,12.95,8.98,1916,January,Alameda
253,2.61,-0.73,1916,February,Alameda
254,1.54,-1.33,1916,March,Alameda
255,0.18,-1.16,1916,April,Alameda
256,0.05,-0.53,1916,May,Alameda
257,0.01,-0.13,1916,June,Alameda
258,0.02,0.01,1916,July,Alameda
259,0.08,0.05,1916,August,Alameda
260,0.71,0.49,1916,September,Alameda
261,0.78,-0.14,1916,October,Alameda
262,0.78,-1.33,1916,November,Alameda
263,4.31,1.09,1916,December,Alameda
264,1.41,-2.56,1917,January,Alameda
265,4.2,0.86,1917,February,Alameda
266,1.14,-1.73,1917,March,Alameda
267,0.3,-1.04,1917,April,Alameda
268,0.19,-0.39,1917,May,Alameda
269,0.0,-0.14,1917,June,Alameda
270,0.0,-0.01,1917,July,Alameda
271,0.0,-0.03,1917,August,Alameda
272,0.1,-0.12,1917,September,Alameda
273,0.0,-0.92,1917,October,Alameda
274,0.57,-1.54,1917,November,Alameda
275,0.94,-2.28,1917,December,Alameda
276,0.82,-3.15,1918,January,Alameda
277,3.8,0.46,1918,February,Alameda
278,3.68,0.81,1918,March,Alameda
279,0.69,-0.65,1918,April,Alameda
280,0.01,-0.57,1918,May,Alameda
281,0.0,-0.14,1918,June,Alameda
282,0.0,-0.01,1918,July,Alameda
283,0.0,-0.03,1918,August,Alameda
284,1.24,1.02,1918,September,Alameda
285,0.3,-0.62,1918,October,Alameda
286,3.14,1.03,1918,November,Alameda
287,1.93,-1.29,1918,December,Alameda
288,1.45,-2.52,1919,January,Alameda
289,7.15,3.81,1919,February,Alameda
290,2.84,-0.03,1919,March,Alameda
291,0.11,-1.23,1919,April,Alameda
292,0.0,-0.58,1919,May,Alameda
293,0.0,-0.14,1919,June,Alameda
294,0.0,-0.01,1919,July,Alameda
295,0.0,-0.03,1919,August,Alameda
296,0.67,0.45,1919,September,Alameda
297,0.23,-0.69,1919,October,Alameda
298,0.25,-1.86,1919,November,Alameda
299,3.49,0.27,1919,December,Alameda
300,0.45,-3.52,1920,January,Alameda
301,0.91,-2.43,1920,February,Alameda
302,4.08,1.21,1920,March,Alameda
303,1.62,0.28,1920,April,Alameda
304,0.0,-0.58,1920,May,Alameda
305,0.26,0.12,1920,June,Alameda
306,0.0,-0.01,1920,July,Alameda
307,0.02,-0.01,1920,August,Alameda
308,0.08,-0.14,1920,September,Alameda
309,2.14,1.22,1920,October,Alameda
310,2.48,0.37,1920,November,Alameda
311,5.16,1.94,1920,December,Alameda
312,5.21,1.24,1921,January,Alameda
313,0.97,-2.37,1921,February,Alameda
314,1.34,-1.53,1921,March,Alameda
315,0.52,-0.82,1921,April,Alameda
316,1.06,0.48,1921,May,Alameda
317,0.01,-0.13,1921,June,Alameda
318,0.0,-0.01,1921,July,Alameda
319,0.0,-0.03,1921,August,Alameda
320,0.16,-0.06,1921,September,Alameda
321,0.32,-0.6,1921,October,Alameda
322,1.58,-0.53,1921,November,Alameda
323,6.1,2.88,1921,December,Alameda
324,2.19,-1.78,1922,January,Alameda
325,5.42,2.08,1922,February,Alameda
326,2.32,-0.55,1922,March,Alameda
327,0.41,-0.93,1922,April,Alameda
328,0.57,-0.01,1922,May,Alameda
329,0.08,-0.06,1922,June,Alameda
330,0.0,-0.01,1922,July,Alameda
331,0.0,-0.03,1922,August,Alameda
332,0.0,-0.22,1922,September,Alameda
333,1.62,0.7,1922,October,Alameda
334,3.54,1.43,1922,November,Alameda
335,6.87,3.65,1922,December,Alameda
336,2.55,-1.42,1923,January,Alameda
337,0.82,-2.52,1923,February,Alameda
338,0.21,-2.66,1923,March,Alameda
339,2.94,1.6,1923,April,Alameda
340,0.03,-0.55,1923,May,Alameda
341,0.16,0.02,1923,June,Alameda
342,0.0,-0.01,1923,July,Alameda
343,0.02,-0.01,1923,August,Alameda
344,0.87,0.65,1923,September,Alameda
345,0.39,-0.53,1923,October,Alameda
346,0.52,-1.59,1923,November,Alameda
347,1.21,-2.01,1923,December,Alameda
348,2.04,-1.93,1924,January,Alameda
349,1.56,-1.78,1924,February,Alameda
350,1.31,-1.56,1924,March,Alameda
351,0.31,-1.03,1924,April,Alameda
352,0.05,-0.53,1924,May,Alameda
353,0.0,-0.14,1924,June,Alameda
354,0.0,-0.01,1924,July,Alameda
355,0.0,-0.03,1924,August,Alameda
356,0.01,-0.21,1924,September,Alameda
357,2.09,1.17,1924,October,Alameda
358,1.68,-0.43,1924,November,Alameda
359,3.71,0.49,1924,December,Alameda
360,1.15,-2.82,1925,January,Alameda
361,5.64,2.3,1925,February,Alameda
362,1.8,-1.07,1925,March,Alameda
363,2.24,0.9,1925,April,Alameda
364,2.54,1.96,1925,May,Alameda
365,0.04,-0.1,1925,June,Alameda
366,0.04,0.03,1925,July,Alameda
367,0.0,-0.03,1925,August,Alameda
368,0.2,-0.02,1925,September,Alameda
369,0.14,-0.78,1925,October,Alameda
370,1.44,-0.67,1925,November,Alameda
371,1.4,-1.82,1925,December,Alameda
372,3.56,-0.41,1926,January,Alameda
373,4.81,1.47,1926,February,Alameda
374,0.24,-2.63,1926,March,Alameda
375,4.16,2.82,1926,April,Alameda
376,0.17,-0.41,1926,May,Alameda
377,0.0,-0.14,1926,June,Alameda
378,0.0,-0.01,1926,July,Alameda
379,0.01,-0.02,1926,August,Alameda
380,0.0,-0.22,1926,September,Alameda
381,1.4,0.48,1926,October,Alameda
382,4.87,2.76,1926,November,Alameda
383,1.03,-2.19,1926,December,Alameda
384,2.48,-1.49,1927,January,Alameda
385,5.25,1.91,1927,February,Alameda
386,1.86,-1.01,1927,March,Alameda
387,2.1,0.76,1927,April,Alameda
388,0.13,-0.45,1927,May,Alameda
389,0.32,0.18,1927,June,Alameda
390,0.0,-0.01,1927,July,Alameda
391,0.0,-0.03,1927,August,Alameda
392,0.02,-0.2,1927,September,Alameda
393,1.81,0.89,1927,October,Alameda
394,2.1,-0.01,1927,November,Alameda
395,2.6,-0.62,1927,December,Alameda
396,1.69,-2.28,1928,January,Alameda
397,1.53,-1.81,1928,February,Alameda
398,4.16,1.29,1928,March,Alameda
399,1.57,0.23,1928,April,Alameda
400,0.44,-0.14,1928,May,Alameda
401,0.0,-0.14,1928,June,Alameda
402,0.0,-0.01,1928,July,Alameda
403,0.0,-0.03,1928,August,Alameda
404,0.01,-0.21,1928,September,Alameda
405,0.02,-0.9,1928,October,Alameda
406,2.56,0.45,1928,November,Alameda
407,3.47,0.25,1928,December,Alameda
408,1.19,-2.78,1929,January,Alameda
409,1.18,-2.16,1929,February,Alameda
410,1.36,-1.51,1929,March,Alameda
411,1.02,-0.32,1929,April,Alameda
412,0.04,-0.54,1929,May,Alameda
413,0.71,0.57,1929,June,Alameda
414,0.0,-0.01,1929,July,Alameda
415,0.0,-0.03,1929,August,Alameda
416,0.0,-0.22,1929,September,Alameda
417,0.03,-0.89,1929,October,Alameda
418,0.0,-2.11,1929,November,Alameda
419,2.25,-0.97,1929,December,Alameda
420,4.42,0.45,1930,January,Alameda
421,2.43,-0.91,1930,February,Alameda
422,2.55,-0.32,1930,March,Alameda
423,1.24,-0.1,1930,April,Alameda
424,0.49,-0.09,1930,May,Alameda
425,0.0,-0.14,1930,June,Alameda
426,0.0,-0.01,1930,July,Alameda
427,0.03,0.0,1930,August,Alameda
428,0.2,-0.02,1930,September,Alameda
429,0.56,-0.36,1930,October,Alameda
430,1.4,-0.71,1930,November,Alameda
431,0.33,-2.89,1930,December,Alameda
432,4.1,0.13,1931,January,Alameda
433,1.55,-1.79,1931,February,Alameda
434,1.02,-1.85,1931,March,Alameda
435,0.45,-0.89,1931,April,Alameda
436,1.25,0.67,1931,May,Alameda
437,0.36,0.22,1931,June,Alameda
438,0.0,-0.01,1931,July,Alameda
439,0.0,-0.03,1931,August,Alameda
440,0.0,-0.22,1931,September,Alameda
441,0.49,-0.43,1931,October,Alameda
442,2.35,0.24,1931,November,Alameda
443,7.72,4.5,1931,December,Alameda
444,2.09,-1.88,1932,January,Alameda
445,3.42,0.08,1932,February,Alameda
446,0.48,-2.39,1932,March,Alameda
447,0.56,-0.78,1932,April,Alameda
448,0.45,-0.13,1932,May,Alameda
449,0.01,-0.13,1932,June,Alameda
450,0.0,-0.01,1932,July,Alameda
451,0.0,-0.03,1932,August,Alameda
452,0.0,-0.22,1932,September,Alameda
453,0.02,-0.9,1932,October,Alameda
454,0.58,-1.53,1932,November,Alameda
455,2.57,-0.65,1932,December,Alameda
456,5.33,1.36,1933,January,Alameda
457,0.6,-2.74,1933,February,Alameda
458,2.54,-0.33,1933,March,Alameda
459,0.14,-1.2,1933,April,Alameda
460,1.07,0.49,1933,May,Alameda
461,0.03,-0.11,1933,June,Alameda
462,0.0,-0.01,1933,July,Alameda
463,0.0,-0.03,1933,August,Alameda
464,0.03,-0.19,1933,September,Alameda
465,1.33,0.41,1933,October,Alameda
466,0.0,-2.11,1933,November,Alameda
467,4.7,1.48,1933,December,Alameda
468,1.24,-2.73,1934,January,Alameda
469,3.6,0.26,1934,February,Alameda
470,0.02,-2.85,1934,March,Alameda
471,0.31,-1.03,1934,April,Alameda
472,0.91,0.33,1934,May,Alameda
473,0.63,0.49,1934,June,Alameda
474,0.0,-0.01,1934,July,Alameda
475,0.0,-0.03,1934,August,Alameda
476,0.31,0.09,1934,September,Alameda
477,0.79,-0.13,1934,October,Alameda
478,3.23,1.12,1934,November,Alameda
479,3.3,0.08,1934,December,Alameda
480,4.75,0.78,1935,January,Alameda
481,1.02,-2.32,1935,February,Alameda
482,3.71,0.84,1935,March,Alameda
483,4.13,2.79,1935,April,Alameda
484,0.0,-0.58,1935,May,Alameda
485,0.0,-0.14,1935,June,Alameda
486,0.0,-0.01,1935,July,Alameda
487,0.17,0.14,1935,August,Alameda
488,0.01,-0.21,1935,September,Alameda
489,1.07,0.15,1935,October,Alameda
490,0.49,-1.62,1935,November,Alameda
491,1.96,-1.26,1935,December,Alameda
492,3.79,-0.18,1936,January,Alameda
493,8.1,4.76,1936,February,Alameda
494,1.01,-1.86,1936,March,Alameda
495,1.35,0.01,1936,April,Alameda
496,0.7,0.12,1936,May,Alameda
497,0.29,0.15,1936,June,Alameda
498,0.02,0.01,1936,July,Alameda
499,0.0,-0.03,1936,August,Alameda
500,0.0,-0.22,1936,September,Alameda
501,0.63,-0.29,1936,October,Alameda
502,0.02,-2.09,1936,November,Alameda
503,4.04,0.82,1936,December,Alameda
504,4.09,0.12,1937,January,Alameda
505,5.03,1.69,1937,February,Alameda
506,6.85,3.98,1937,March,Alameda
507,0.87,-0.47,1937,April,Alameda
508,0.11,-0.47,1937,May,Alameda
509,0.34,0.2,1937,June,Alameda
510,0.0,-0.01,1937,July,Alameda
511,0.0,-0.03,1937,August,Alameda
512,0.0,-0.22,1937,September,Alameda
513,0.79,-0.13,1937,October,Alameda
514,2.74,0.63,1937,November,Alameda
515,4.94,1.72,1937,December,Alameda
516,3.36,-0.61,1938,January,Alameda
517,7.85,4.51,1938,February,Alameda
518,5.46,2.59,1938,March,Alameda
519,1.43,0.09,1938,April,Alameda
520,0.02,-0.56,1938,May,Alameda
521,0.0,-0.14,1938,June,Alameda
522,0.0,-0.01,1938,July,Alameda
523,0.0,-0.03,1938,August,Alameda
524,0.09,-0.13,1938,September,Alameda
525,1.27,0.35,1938,October,Alameda
526,1.31,-0.8,1938,November,Alameda
527,1.21,-2.01,1938,December,Alameda
528,2.83,-1.14,1939,January,Alameda
529,1.83,-1.51,1939,February,Alameda
530,2.63,-0.24,1939,March,Alameda
531,0.54,-0.8,1939,April,Alameda
532,0.5,-0.08,1939,May,Alameda
533,0.0,-0.14,1939,June,Alameda
534,0.0,-0.01,1939,July,Alameda
535,0.0,-0.03,1939,August,Alameda
536,0.4,0.18,1939,September,Alameda
537,1.06,0.14,1939,October,Alameda
538,0.24,-1.87,1939,November,Alameda
539,0.99,-2.23,1939,December,Alameda
540,8.95,4.98,1940,January,Alameda
541,7.26,3.92,1940,February,Alameda
542,4.04,1.17,1940,March,Alameda
543,0.53,-0.81,1940,April,Alameda
544,0.36,-0.22,1940,May,Alameda
545,0.0,-0.14,1940,June,Alameda
546,0.0,-0.01,1940,July,Alameda
547,0.01,-0.02,1940,August,Alameda
548,0.29,0.07,1940,September,Alameda
549,0.7,-0.22,1940,October,Alameda
550,0.87,-1.24,1940,November,Alameda
551,6.7,3.48,1940,December,Alameda
552,5.03,1.06,1941,January,Alameda
553,5.64,2.3,1941,February,Alameda
554,3.63,0.76,1941,March,Alameda
555,3.9,2.56,1941,April,Alameda
556,0.61,0.03,1941,May,Alameda
557,0.03,-0.11,1941,June,Alameda
558,0.01,0.0,1941,July,Alameda
559,0.02,-0.01,1941,August,Alameda
560,0.0,-0.22,1941,September,Alameda
561,0.89,-0.03,1941,October,Alameda
562,1.25,-0.86,1941,November,Alameda
563,6.97,3.75,1941,December,Alameda
564,4.81,0.84,1942,January,Alameda
565,2.5,-0.84,1942,February,Alameda
566,2.22,-0.65,1942,March,Alameda
567,3.82,2.48,1942,April,Alameda
568,1.4,0.82,1942,May,Alameda
569,0.0,-0.14,1942,June,Alameda
570,0.0,-0.01,1942,July,Alameda
571,0.0,-0.03,1942,August,Alameda
572,0.14,-0.08,1942,September,Alameda
573,1.21,0.29,1942,October,Alameda
574,3.49,1.38,1942,November,Alameda
575,2.34,-0.88,1942,December,Alameda
576,5.67,1.7,1943,January,Alameda
577,2.09,-1.25,1943,February,Alameda
578,3.16,0.29,1943,March,Alameda
579,1.56,0.22,1943,April,Alameda
580,0.01,-0.57,1943,May,Alameda
581,0.07,-0.07,1943,June,Alameda
582,0.0,-0.01,1943,July,Alameda
583,0.0,-0.03,1943,August,Alameda
584,0.0,-0.22,1943,September,Alameda
585,0.48,-0.44,1943,October,Alameda
586,0.79,-1.32,1943,November,Alameda
587,1.81,-1.41,1943,December,Alameda
588,2.96,-1.01,1944,January,Alameda
589,6.0,2.66,1944,February,Alameda
590,1.12,-1.75,1944,March,Alameda
591,1.44,0.1,1944,April,Alameda
592,0.79,0.21,1944,May,Alameda
593,0.14,0.0,1944,June,Alameda
594,0.0,-0.01,1944,July,Alameda
595,0.0,-0.03,1944,August,Alameda
596,0.0,-0.22,1944,September,Alameda
597,1.5,0.58,1944,October,Alameda
598,4.65,2.54,1944,November,Alameda
599,2.88,-0.34,1944,December,Alameda
600,0.81,-3.16,1945,January,Alameda
601,4.33,0.99,1945,February,Alameda
602,3.75,0.88,1945,March,Alameda
603,0.29,-1.05,1945,April,Alameda
604,0.51,-0.07,1945,May,Alameda
605,0.02,-0.12,1945,June,Alameda
606,0.01,0.0,1945,July,Alameda
607,0.01,-0.02,1945,August,Alameda
608,0.01,-0.21,1945,September,Alameda
609,1.85,0.93,1945,October,Alameda
610,2.47,0.36,1945,November,Alameda
611,5.29,2.07,1945,December,Alameda
612,1.17,-2.8,1946,January,Alameda
613,1.76,-1.58,1946,February,Alameda
614,2.06,-0.81,1946,March,Alameda
615,0.06,-1.28,1946,April,Alameda
616,0.79,0.21,1946,May,Alameda
617,0.0,-0.14,1946,June,Alameda
618,0.05,0.04,1946,July,Alameda
619,0.0,-0.03,1946,August,Alameda
620,0.05,-0.17,1946,September,Alameda
621,0.12,-0.8,1946,October,Alameda
622,3.45,1.34,1946,November,Alameda
623,2.61,-0.61,1946,December,Alameda
624,0.82,-3.15,1947,January,Alameda
625,1.76,-1.58,1947,February,Alameda
626,2.87,0.0,1947,March,Alameda
627,0.4,-0.94,1947,April,Alameda
628,0.37,-0.21,1947,May,Alameda
629,0.49,0.35,1947,June,Alameda
630,0.0,-0.01,1947,July,Alameda
631,0.0,-0.03,1947,August,Alameda
632,0.0,-0.22,1947,September,Alameda
633,2.71,1.79,1947,October,Alameda
634,1.12,-0.99,1947,November,Alameda
635,0.94,-2.28,1947,December,Alameda
636,0.53,-3.44,1948,January,Alameda
637,1.53,-1.81,1948,February,Alameda
638,3.29,0.42,1948,March,Alameda
639,3.48,2.14,1948,April,Alameda
640,1.16,0.58,1948,May,Alameda
641,0.16,0.02,1948,June,Alameda
642,0.02,0.01,1948,July,Alameda
643,0.0,-0.03,1948,August,Alameda
644,0.02,-0.2,1948,September,Alameda
645,0.55,-0.37,1948,October,Alameda
646,0.44,-1.67,1948,November,Alameda
647,3.84,0.62,1948,December,Alameda
648,1.54,-2.43,1949,January,Alameda
649,2.68,-0.66,1949,February,Alameda
650,4.64,1.77,1949,March,Alameda
651,0.01,-1.33,1949,April,Alameda
652,0.47,-0.11,1949,May,Alameda
653,0.0,-0.14,1949,June,Alameda
654,0.04,0.03,1949,July,Alameda
655,0.13,0.1,1949,August,Alameda
656,0.05,-0.17,1949,September,Alameda
657,0.14,-0.78,1949,October,Alameda
658,1.44,-0.67,1949,November,Alameda
659,1.85,-1.37,1949,December,Alameda
660,6.2,2.23,1950,January,Alameda
661,1.98,-1.36,1950,February,Alameda
662,1.86,-1.01,1950,March,Alameda
663,1.14,-0.2,1950,April,Alameda
664,0.47,-0.11,1950,May,Alameda
665,0.02,-0.12,1950,June,Alameda
666,0.01,0.0,1950,July,Alameda
667,0.0,-0.03,1950,August,Alameda
668,0.08,-0.14,1950,September,Alameda
669,2.15,1.23,1950,October,Alameda
670,5.76,3.65,1950,November,Alameda
671,5.75,2.53,1950,December,Alameda
672,3.23,-0.74,1951,January,Alameda
673,2.26,-1.08,1951,February,Alameda
674,1.72,-1.15,1951,March,Alameda
675,0.87,-0.47,1951,April,Alameda
