San Diego County, California, Precipitation
191906,0.00,-0.06
191907,0.66,0.46
191908,0.33,0.01
191909,0.61,0.33
191910,0.93,0.33
191911,1.69,0.50
191912,1.38,-0.80
192001,1.24,-1.50
192002,4.87,2.08
192003,4.33,1.81
192004,0.73,-0.34
192005,0.50,0.16
192006,0.02,-0.04
192007,0.13,-0.07
192008,0.51,0.19
192009,0.07,-0.21
192010,1.16,0.56
192011,0.45,-0.74
192012,0.97,-1.21
192101,2.80,0.06
192102,0.90,-1.89
192103,1.89,-0.63
192104,0.24,-0.83
192105,1.35,1.01
192106,0.01,-0.05
192107,0.68,0.48
192108,0.90,0.58
192109,1.11,0.83
192110,1.29,0.69
192111,0.31,-0.88
192112,9.38,7.20
192201,4.28,1.54
192202,3.35,0.56
192203,1.95,-0.57
192204,0.80,-0.27
192205,0.88,0.54
192206,0.00,-0.06
192207,0.50,0.30
192208,0.40,0.08
192209,0.06,-0.22
192210,0.38,-0.22
192211,1.71,0.52
192212,2.80,0.62
192301,2.51,-0.23
192302,1.91,-0.88
192303,1.13,-1.39
192304,1.67,0.60
192305,0.15,-0.19
192306,0.03,-0.03
192307,0.21,0.01
192308,0.14,-0.18
192309,0.73,0.45
192310,0.46,-0.14
192311,0.80,-0.39
192312,2.18,0.00
192401,0.69,-2.05
192402,0.01,-2.78
192403,4.31,1.79
192404,1.36,0.29
192405,0.08,-0.26
192406,0.00,-0.06
192407,0.00,-0.20
192408,0.00,-0.32
192409,0.00,-0.28
192410,0.46,-0.14
192411,0.56,-0.63
192412,3.35,1.17
192501,0.19,-2.55
192502,0.66,-2.13
192503,2.01,-0.51
192504,2.33,1.26
192505,0.24,-0.10
192506,0.31,0.25
192507,0.01,-0.19
192508,0.03,-0.29
192509,0.00,-0.28
192510,3.22,2.62
192511,1.26,0.07
192512,1.20,-0.98
192601,1.35,-1.39
192602,2.91,0.12
192603,0.47,-2.05
192604,4.56,3.49
192605,0.18,-0.16
192606,0.03,-0.03
192607,0.11,-0.09
192608,0.11,-0.21
192609,0.09,-0.19
192610,0.12,-0.48
192611,1.10,-0.09
192612,6.23,4.05
192701,0.63,-2.11
192702,11.76,8.97
192703,3.08,0.56
192704,0.73,-0.34
192705,0.61,0.27
192706,0.09,0.03
192707,0.23,0.03
192708,0.04,-0.28
192709,0.05,-0.23
192710,1.86,1.26
192711,0.99,-0.20
192712,4.82,2.64
192801,0.70,-2.04
192802,2.04,-0.75
192803,1.04,-1.48
192804,0.11,-0.96
192805,0.70,0.36
192806,0.01,-0.05
192807,0.00,-0.20
192808,0.03,-0.29
192809,0.00,-0.28
192810,0.48,-0.12
192811,1.01,-0.18
192812,2.63,0.45
192901,1.94,-0.80
192902,1.83,-0.96
192903,1.95,-0.57
192904,1.46,0.39
192905,0.00,-0.34
192906,0.00,-0.06
192907,0.09,-0.11
192908,0.50,0.18
192909,1.15,0.87
192910,0.01,-0.59
192911,0.00,-1.19
192912,0.00,-2.18
193001,6.23,3.49
193002,1.07,-1.72
193003,3.27,0.75
193004,0.85,-0.22
193005,1.40,1.06
193006,0.00,-0.06
193007,0.17,-0.03
193008,0.55,0.23
193009,0.02,-0.26
193010,0.29,-0.31
193011,1.91,0.72
193012,0.01,-2.17
193101,2.01,-0.73
193102,4.51,1.72
193103,0.12,-2.40
193104,1.84,0.77
193105,0.68,0.34
193106,0.06,0.00
193107,0.18,-0.02
193108,0.83,0.51
193109,0.38,0.10
193110,0.65,0.05
193111,2.71,1.52
193112,4.89,2.71
193201,1.72,-1.02
193202,8.51,5.72
193203,0.23,-2.29
193204,0.74,-0.33
193205,0.06,-0.28
193206,0.10,0.04
193207,0.01,-0.19
193208,0.00,-0.32
193209,0.07,-0.21
193210,1.89,1.29
193211,0.01,-1.18
193212,4.50,2.32
193301,4.83,2.09
193302,0.09,-2.70
193303,0.08,-2.44
193304,1.75,0.68
193305,0.97,0.63
193306,0.05,-0.01
193307,0.15,-0.05
193308,0.14,-0.18
193309,0.00,-0.28
193310,0.22,-0.38
193311,0.38,-0.81
193312,2.25,0.07
193401,0.80,-1.94
193402,1.79,-1.00
193403,0.41,-2.11
193404,0.01,-1.06
193405,0.00,-0.34
193406,0.32,0.26
193407,0.18,-0.02
193408,0.57,0.25
193409,0.22,-0.06
193410,0.68,0.08
193411,1.20,0.01
193412,3.41,1.23
193501,3.18,0.44
193502,4.49,1.70
193503,2.39,-0.13
193504,1.38,0.31
193505,0.14,-0.20
193506,0.00,-0.06
193507,0.11,-0.09
193508,0.93,0.61
193509,0.09,-0.19
193510,0.07,-0.53
193511,0.37,-0.82
193512,0.88,-1.30
193601,0.64,-2.10
193602,6.31,3.52
193603,1.91,-0.61
193604,0.85,-0.22
193605,0.04,-0.30
193606,0.00,-0.06
193607,0.47,0.27
193608,0.64,0.32
193609,0.03,-0.25
193610,2.07,1.47
193611,0.44,-0.75
193612,6.90,4.72
193701,3.11,0.37
193702,6.35,3.56
193703,4.12,1.60
193704,0.58,-0.49
193705,0.46,0.12
193706,0.01,-0.05
193707,0.42,0.22
193708,0.00,-0.32
193709,0.01,-0.27
193710,0.00,-0.60
193711,0.06,-1.13
193712,1.89,-0.29
193801,1.81,-0.93
193802,4.91,2.12
193803,7.28,4.76
193804,0.76,-0.31
193805,0.25,-0.09
193806,0.02,-0.04
193807,0.32,0.12
193808,0.23,-0.09
193809,0.01,-0.27
193810,0.21,-0.39
193811,0.04,-1.15
193812,5.08,2.90
193901,2.84,0.10
193902,2.62,-0.17
193903,1.59,-0.93
193904,0.72,-0.35
193905,0.03,-0.31
193906,0.00,-0.06
193907,0.04,-0.16
193908,0.23,-0.09
193909,1.64,1.36
193910,0.34,-0.26
193911,1.02,-0.17
193912,0.59,-1.59
194001,3.11,0.37
194002,4.05,1.26
194003,0.72,-1.80
194004,1.75,0.68
194005,0.01,-0.33
194006,0.00,-0.06
194007,0.00,-0.20
194008,0.01,-0.31
194009,0.09,-0.19
194010,1.46,0.86
194011,0.61,-0.58
194012,7.38,5.20
194101,2.00,-0.74
194102,4.32,1.53
194103,6.13,3.61
194104,4.38,3.31
194105,0.40,0.06
194106,0.05,-0.01
194107,0.24,0.04
194108,0.68,0.36
194109,0.30,0.02
194110,2.64,2.04
194111,1.78,0.59
194112,3.83,1.65
194201,0.68,-2.06
194202,2.16,-0.63
194203,1.82,-0.70
194204,1.78,0.71
194205,0.02,-0.32
194206,0.00,-0.06
194207,0.00,-0.20
194208,0.22,-0.10
194209,0.00,-0.28
194210,0.33,-0.27
194211,0.21,-0.98
194212,1.20,-0.98
194301,6.37,3.63
194302,1.99,-0.80
194303,2.89,0.37
194304,1.68,0.61
194305,0.03,-0.31
194306,0.08,0.02
194307,0.00,-0.20
194308,0.08,-0.24
194309,0.30,0.02
194310,0.53,-0.07
194311,0.03,-1.16
194312,5.68,3.50
194401,1.40,-1.34
194402,5.61,2.82
194403,1.34,-1.18
194404,0.93,-0.14
194405,0.20,-0.14
194406,0.17,0.11
194407,0.00,-0.20
194408,0.02,-0.30
194409,0.01,-0.27
194410,0.05,-0.55
194411,4.46,3.27
194412,1.12,-1.06
194501,0.45,-2.29
194502,2.13,-0.66
194503,4.45,1.93
194504,0.37,-0.70
194505,0.04,-0.30
194506,0.07,0.01
194507,0.27,0.07
194508,1.44,1.12
194509,0.41,0.13
194510,0.15,-0.45
194511,0.44,-0.75
194512,5.51,3.33
194601,0.78,-1.96
194602,1.00,-1.79
194603,2.49,-0.03
194604,0.60,-0.47
194605,0.11,-0.23
194606,0.00,-0.06
194607,0.59,0.39
194608,0.14,-0.18
194609,0.23,-0.05
194610,1.03,0.43
194611,3.91,2.72
194612,1.64,-0.54
194701,0.62,-2.12
194702,0.55,-2.24
194703,1.22,-1.30
194704,0.47,-0.60
194705,0.20,-0.14
194706,0.01,-0.05
194707,0.01,-0.19
194708,0.58,0.26
194709,0.17,-0.11
194710,0.24,-0.36
194711,0.52,-0.67
194712,2.69,0.51
194801,0.06,-2.68
194802,2.09,-0.70
194803,1.89,-0.63
194804,0.59,-0.48
194805,0.04,-0.30
194806,0.23,0.17
194807,0.14,-0.06
194808,0.01,-0.31
194809,0.04,-0.24
194810,1.32,0.72
194811,0.01,-1.18
194812,2.53,0.35
194901,4.86,2.12
194902,1.88,-0.91
194903,1.30,-1.22
194904,0.07,-1.00
194905,0.55,0.21
194906,0.00,-0.06
194907,0.00,-0.20
194908,0.03,-0.29
194909,0.01,-0.27
194910,0.38,-0.22
194911,1.17,-0.02
194912,1.53,-0.65
195001,2.74,0.00
195002,1.46,-1.33
195003,1.24,-1.28
195004,0.46,-0.61
195005,0.32,-0.02
195006,0.00,-0.06
195007,0.33,0.13
195008,0.00,-0.32
195009,0.19,-0.09
195010,0.01,-0.59
195011,1.17,-0.02
195012,0.12,-2.06
195101,2.53,-0.21
195102,1.22,-1.57
195103,0.88,-1.64
195104,2.13,1.06
195105,0.19,-0.15
195106,0.00,-0.06
195107,0.41,0.21
195108,0.98,0.66
195109,0.11,-0.17
195110,0.89,0.29
195111,1.01,-0.18
195112,5.67,3.49
195201,5.20,2.46
195202,0.45,-2.34
195203,5.94,3.42
195204,1.79,0.72
195205,0.00,-0.34
195206,0.01,-0.05
195207,0.30,0.10
195208,0.02,-0.30
195209,0.14,-0.14
195210,0.00,-0.60
195211,3.10,1.91
195212,2.88,0.70
195301,0.93,-1.81
195302,0.66,-2.13
195303,1.43,-1.09
195304,1.02,-0.05
195305,0.35,0.01
195306,0.03,-0.03
195307,0.03,-0.17
195308,0.15,-0.17
195309,0.01,-0.27
195310,0.08,-0.52
195311,0.79,-0.40
195312,0.18,-2.00
195401,4.27,1.53
195402,1.65,-1.14
195403,5.50,2.98
195404,0.11,-0.96
195405,0.07,-0.27
195406,0.05,-0.01
195407,0.56,0.36
195408,0.01,-0.31
195409,0.21,-0.07
195410,0.00,-0.60
195411,0.92,-0.27
195412,0.68,-1.50
195501,4.02,1.28
195502,1.23,-1.56
195503,0.52,-2.00
195504,0.61,-0.46
195505,1.01,0.67
195506,0.01,-0.05
195507,0.47,0.27
195508,0.64,0.32
195509,0.00,-0.28
195510,0.00,-0.60
195511,0.91,-0.28
195512,0.98,-1.20
195601,2.78,0.04
195602,0.76,-2.03
195603,0.00,-2.52
195604,1.82,0.75
195605,0.29,-0.05
195606,0.00,-0.06
195607,0.13,-0.07
195608,0.00,-0.32
195609,0.00,-0.28
195610,0.19,-0.41
195611,0.00,-1.19
195612,0.37,-1.81
195701,6.38,3.64
195702,0.55,-2.24
195703,1.20,-1.32
195704,1.00,-0.07
195705,1.14,0.80
195706,0.24,0.18
195707,0.01,-0.19
195708,0.33,0.01
195709,0.02,-0.26
195710,2.19,1.59
195711,0.94,-0.25
195712,1.44,-0.74
195801,0.98,-1.76
195802,4.36,1.57
195803,5.82,3.30
195804,3.56,2.49
195805,0.34,0.00
195806,0.02,-0.04
195807,0.18,-0.02
195808,0.32,0.00
195809,0.41,0.13
195810,0.06,-0.54
195811,0.51,-0.68
195812,0.05,-2.13
195901,0.51,-2.23
195902,4.63,1.84
195903,0.01,-2.51
195904,0.28,-0.79
195905,0.05,-0.29
195906,0.00,-0.06
195907,0.18,-0.02
195908,0.33,0.01
195909,0.12,-0.16
195910,0.53,-0.07
195911,0.24,-0.95
195912,2.58,0.40
196001,3.01,0.27
196002,2.68,-0.11
196003,0.62,-1.90
196004,1.02,-0.05
196005,0.33,-0.01
196006,0.01,-0.05
196007,0.10,-0.10
196008,0.03,-0.29
196009,0.51,0.23
196010,0.14,-0.46
196011,1.69,0.50
196012,0.13,-2.05
196101,0.97,-1.77
196102,0.08,-2.71
196103,1.54,-0.98
196104,0.01,-1.06
196105,0.03,-0.31
196106,0.01,-0.05
196107,0.00,-0.20
196108,0.50,0.18
196109,0.03,-0.25
196110,0.23,-0.37
196111,0.88,-0.31
196112,1.86,-0.32
196201,2.98,0.24
196202,4.30,1.51
196203,1.51,-1.01
196204,0.00,-1.07
196205,0.85,0.51
196206,0.12,0.06
196207,0.02,-0.18
196208,0.00,-0.32
196209,0.03,-0.25
196210,0.08,-0.52
196211,0.01,-1.18
196212,0.59,-1.59
196301,0.41,-2.33
196302,2.57,-0.22
196303,1.60,-0.92
196304,1.45,0.38
196305,0.03,-0.31
196306,0.10,0.04
196307,0.00,-0.20
196308,0.50,0.18
196309,1.58,1.30
196310,0.95,0.35
196311,2.07,0.88
196312,0.20,-1.98
196401,1.75,-0.99
196402,0.75,-2.04
196403,2.53,0.01
196404,0.91,-0.16
196405,0.58,0.24
196406,0.03,-0.03
196407,0.01,-0.19
196408,0.04,-0.28
196409,0.10,-0.18
196410,0.28,-0.32
196411,1.96,0.77
196412,1.36,-0.82
196501,0.53,-2.21
196502,1.09,-1.70
196503,1.25,-1.27
196504,4.39,3.32
196505,0.04,-0.30
196506,0.02,-0.04
196507,0.42,0.22
196508,0.24,-0.08
196509,0.43,0.15
196510,0.00,-0.60
196511,5.91,4.72
196512,4.88,2.70
196601,1.25,-1.49
196602,1.29,-1.50
196603,0.78,-1.74
196604,0.05,-1.02
196605,0.06,-0.28
196606,0.06,0.00
196607,0.12,-0.08
196608,0.01,-0.31
196609,0.09,-0.19
196610,0.74,0.14
196611,1.40,0.21
196612,6.11,3.93
196701,2.10,-0.64
196702,0.00,-2.79
196703,1.35,-1.17
196704,3.15,2.08
196705,0.14,-0.20
196706,0.10,0.04
196707,0.26,0.06
196708,0.51,0.19
196709,0.58,0.30
196710,0.00,-0.60
196711,2.81,1.62
196712,3.32,1.14
196801,0.53,-2.21
196802,0.37,-2.42
196803,1.82,-0.70
196804,1.00,-0.07
196805,0.29,-0.05
196806,0.02,-0.04
196807,0.64,0.44
196808,0.09,-0.23
196809,0.01,-0.27
196810,0.17,-0.43
196811,0.60,-0.59
196812,1.31,-0.87
196901,7.60,4.86
196902,6.04,3.25
196903,1.60,-0.92
196904,0.32,-0.75
196905,0.44,0.10
196906,0.08,0.02
196907,0.09,-0.11
196908,0.17,-0.15
196909,0.12,-0.16
196910,0.03,-0.57
196911,1.54,0.35
196912,0.28,-1.90
197001,0.83,-1.91
197002,1.32,-1.47
197003,3.40,0.88
197004,0.60,-0.47
197005,0.01,-0.33
197006,0.02,-0.04
197007,0.08,-0.12
197008,0.51,0.19
197009,0.01,-0.27
197010,0.13,-0.47
197011,2.27,1.08
197012,3.04,0.86
197101,0.93,-1.81
197102,1.12,-1.67
197103,0.32,-2.20
197104,1.11,0.04
197105,1.10,0.76
197106,0.01,-0.05
197107,0.01,-0.19
197108,0.41,0.09
197109,0.14,-0.14
197110,1.13,0.53
197111,0.19,-1.00
197112,3.76,1.58
197201,0.02,-2.72
197202,0.21,-2.58
197203,0.00,-2.52
197204,0.25,-0.82
197205,0.32,-0.02
197206,0.34,0.28
197207,0.01,-0.19
197208,0.11,-0.21
197209,0.29,0.01
197210,1.31,0.71
197211,2.87,1.68
197212,2.02,-0.16
197301,2.21,-0.53
197302,3.07,0.28
197303,4.24,1.72
197304,0.18,-0.89
197305,0.11,-0.23
197306,0.01,-0.05
197307,0.00,-0.20
197308,0.20,-0.12
197309,0.00,-0.28
197310,0.02,-0.58
197311,1.71,0.52
197312,0.19,-1.99
197401,4.86,2.12
197402,0.10,-2.69
197403,1.81,-0.71
197404,0.40,-0.67
197405,0.14,-0.20
197406,0.01,-0.05
197407,0.44,0.24
197408,0.02,-0.30
197409,0.07,-0.21
197410,1.96,1.36
197411,0.30,-0.89
197412,2.03,-0.15
197501,0.32,-2.42
197502,1.34,-1.45
197503,3.65,1.13
197504,2.61,1.54
197505,0.13,-0.21
197506,0.08,0.02
197507,0.14,-0.06
197508,0.01,-0.31
197509,0.65,0.37
197510,0.18,-0.42
197511,1.53,0.34
197512,0.53,-1.65
197601,0.02,-2.72
197602,5.33,2.54
197603,1.81,-0.71
197604,1.59,0.52
197605,0.27,-0.07
197606,0.05,-0.01
197607,0.46,0.26
197608,0.02,-0.30
197609,1.63,1.35
197610,0.60,0.00
197611,0.85,-0.34
197612,0.98,-1.20
197701,2.65,-0.09
197702,0.40,-2.39
197703,1.44,-1.08
197704,0.14,-0.93
197705,1.19,0.85
197706,0.03,-0.03
197707,0.01,-0.19
197708,1.50,1.18
197709,0.01,-0.27
197710,0.41,-0.19
197711,0.13,-1.06
197712,2.92,0.74
197801,8.26,5.52
197802,5.14,2.35
197803,6.79,4.27
197804,1.44,0.37
197805,0.22,-0.12
197806,0.00,-0.06
197807,0.01,-0.19
197808,0.02,-0.30
197809,0.78,0.50
197810,0.20,-0.40
197811,2.92,1.73
197812,3.27,1.09
197901,5.81,3.07
197902,2.78,-0.01
197903,4.37,1.85
197904,0.04,-1.03
197905,0.27,-0.07
197906,0.02,-0.04
197907,0.53,0.33
197908,0.29,-0.03
197909,0.03,-0.25
197910,1.13,0.53
197911,0.31,-0.88
197912,0.39,-1.79
198001,9.39,6.65
198002,9.18,6.39
198003,3.76,1.24
198004,1.37,0.30
198005,0.78,0.44
198006,0.00,-0.06
198007,0.19,-0.01
198008,0.00,-0.32
198009,0.00,-0.28
198010,0.34,-0.26
198011,0.00,-1.19
198012,0.68,-1.50
198101,1.42,-1.32
198102,2.21,-0.58
198103,3.71,1.19
198104,0.55,-0.52
198105,0.37,0.03
198106,0.00,-0.06
198107,0.01,-0.19
198108,0.14,-0.18
198109,0.22,-0.06
198110,0.32,-0.28
198111,1.37,0.18
198112,0.63,-1.55
198201,4.22,1.48
198202,1.68,-1.11
198203,5.02,2.50
198204,1.00,-0.07
198205,0.24,-0.10
198206,0.07,0.01
198207,0.14,-0.06
198208,0.38,0.06
198209,0.98,0.70
198210,0.16,-0.44
198211,3.50,2.31
198212,3.36,1.18
198301,2.44,-0.30
198302,4.69,1.90
198303,8.45,5.93
198304,2.18,1.11
198305,0.22,-0.12
198306,0.01,-0.05
198307,0.01,-0.19
198308,1.43,1.11
198309,0.55,0.27
198310,0.77,0.17
198311,2.38,1.19
198312,2.71,0.53
198401,0.27,-2.47
198402,0.06,-2.73
198403,0.06,-2.46
198404,0.59,-0.48
198405,0.06,-0.28
198406,0.06,0.00
198407,0.89,0.69
198408,0.88,0.56
198409,0.21,-0.07
198410,0.27,-0.33
198411,1.70,0.51
198412,4.95,2.77
198501,1.02,-1.72
198502,1.36,-1.43
198503,1.05,-1.47
198504,0.27,-0.80
198505,0.03,-0.31
198506,0.04,-0.02
198507,0.48,0.28
198508,0.01,-0.31
198509,0.55,0.27
198510,0.37,-0.23
198511,5.26,4.07
198512,1.33,-0.85
198601,0.70,-2.04
198602,3.68,0.89
198603,3.67,1.15
198604,0.47,-0.60
198605,0.01,-0.33
198606,0.00,-0.06
198607,0.45,0.25
198608,0.20,-0.12
198609,1.04,0.76
198610,1.27,0.67
198611,0.89,-0.30
198612,1.13,-1.05
198701,1.94,-0.80
198702,1.81,-0.98
198703,1.76,-0.76
198704,0.38,-0.69
198705,0.13,-0.21
198706,0.04,-0.02
198707,0.09,-0.11
198708,0.22,-0.10
198709,0.43,0.15
198710,2.76,2.16
198711,1.96,0.77
198712,2.23,0.05
198801,2.44,-0.30
198802,1.30,-1.49
198803,0.46,-2.06
198804,2.75,1.68
198805,0.19,-0.15
198806,0.01,-0.05
198807,0.04,-0.16
198808,0.39,0.07
198809,0.04,-0.24
198810,0.01,-0.59
198811,0.97,-0.22
198812,2.23,0.05
198901,0.87,-1.87
198902,1.31,-1.48
198903,1.22,-1.30
198904,0.10,-0.97
198905,0.20,-0.14
198906,0.00,-0.06
198907,0.09,-0.11
198908,0.06,-0.26
198909,0.39,0.11
198910,0.43,-0.17
198911,0.10,-1.09
198912,0.13,-2.05
199001,2.76,0.02
199002,1.67,-1.12
199003,0.73,-1.79
199004,0.83,-0.24
199005,0.51,0.17
199006,0.32,0.26
199007,0.23,0.03
199008,0.33,0.01
199009,0.17,-0.11
199010,0.08,-0.52
199011,0.68,-0.51
199012,0.77,-1.41
199101,1.04,-1.70
199102,2.42,-0.37
199103,8.78,6.26
199104,0.09,-0.98
199105,0.02,-0.32
199106,0.00,-0.06
199107,0.38,0.18
199108,0.29,-0.03
199109,0.50,0.22
199110,0.69,0.09
199111,0.17,-1.02
199112,2.22,0.04
199201,2.39,-0.35
199202,4.27,1.48
199203,4.40,1.88
199204,0.58,-0.49
199205,0.37,0.03
199206,0.00,-0.06
199207,0.15,-0.05
199208,0.78,0.46
199209,0.01,-0.27
199210,0.89,0.29
199211,0.03,-1.16
199212,3.69,1.51
199301,12.68,9.94
199302,5.54,2.75
199303,1.36,-1.16
199304,0.00,-1.07
199305,0.23,-0.11
199306,0.33,0.27
199307,0.01,-0.19
199308,0.11,-0.21
199309,0.00,-0.28
199310,0.16,-0.44
199311,1.46,0.27
199312,0.86,-1.32
199401,1.21,-1.53
199402,3.84,1.05
199403,3.14,0.62
199404,1.23,0.16
199405,0.29,-0.05
199406,0.00,-0.06
199407,0.05,-0.15
199408,0.31,-0.01
199409,0.02,-0.26
