Santa Barbara County, California, Precipitation
191905,1.67,1.26
191906,0.00,-0.04
191907,0.00,-0.02
191908,0.00,-0.03
191909,0.60,0.44
191910,0.24,-0.42
191911,0.42,-1.23
191912,2.52,-0.37
192001,0.50,-3.57
192002,3.71,-0.47
192003,5.08,1.72
192004,0.65,-0.73
192005,0.01,-0.40
192006,0.00,-0.04
192007,0.00,-0.02
192008,0.03,0.00
192009,0.00,-0.16
192010,0.69,0.03
192011,1.02,-0.63
192012,1.64,-1.25
192101,5.02,0.95
192102,1.86,-2.32
192103,1.39,-1.97
192104,0.59,-0.79
192105,1.84,1.43
192106,0.05,0.01
192107,0.00,-0.02
192108,0.00,-0.03
192109,0.51,0.35
192110,0.52,-0.14
192111,0.21,-1.44
192112,7.22,4.33
192201,5.64,1.57
192202,4.19,0.01
192203,3.32,-0.04
192204,0.21,-1.17
192205,0.97,0.56
192206,0.01,-0.03
192207,0.07,0.05
192208,0.00,-0.03
192209,0.00,-0.16
192210,0.63,-0.03
192211,1.68,0.03
192212,4.58,1.69
192301,2.42,-1.65
192302,1.21,-2.97
192303,0.18,-3.18
192304,3.39,2.01
192305,0.00,-0.41
192306,0.05,0.01
192307,0.00,-0.02
192308,0.08,0.05
192309,0.19,0.03
192310,0.85,0.19
192311,0.46,-1.19
192312,0.62,-2.27
192401,0.73,-3.34
192402,0.45,-3.73
192403,3.63,0.27
192404,1.08,-0.30
192405,0.04,-0.37
192406,0.00,-0.04
192407,0.00,-0.02
192408,0.00,-0.03
192409,0.00,-0.16
192410,0.82,0.16
192411,1.04,-0.61
192412,1.58,-1.31
192501,0.86,-3.21
192502,1.63,-2.55
192503,3.41,0.05
192504,2.31,0.93
192505,1.67,1.26
192506,0.11,0.07
192507,0.06,0.04
192508,0.16,0.13
192509,0.00,-0.16
192510,0.96,0.30
192511,0.80,-0.85
192512,2.32,-0.57
192601,2.29,-1.78
192602,4.04,-0.14
192603,0.73,-2.63
192604,5.42,4.04
192605,0.12,-0.29
192606,0.00,-0.04
192607,0.00,-0.02
192608,0.00,-0.03
192609,0.00,-0.16
192610,0.51,-0.15
192611,5.39,3.74
192612,2.56,-0.33
192701,2.02,-2.05
192702,8.17,3.99
192703,2.60,-0.76
192704,1.16,-0.22
192705,0.12,-0.29
192706,0.04,0.00
192707,0.00,-0.02
192708,0.01,-0.02
192709,0.03,-0.13
192710,3.19,2.53
192711,1.05,-0.60
192712,2.82,-0.07
192801,0.31,-3.76
192802,3.25,-0.93
192803,2.41,-0.95
192804,0.44,-0.94
192805,1.13,0.72
192806,0.01,-0.03
192807,0.00,-0.02
192808,0.00,-0.03
192809,0.00,-0.16
192810,0.18,-0.48
192811,2.57,0.92
192812,3.13,0.24
192901,1.90,-2.17
192902,1.56,-2.62
192903,1.87,-1.49
192904,1.25,-0.13
192905,0.03,-0.38
192906,0.12,0.08
192907,0.00,-0.02
192908,0.02,-0.01
192909,0.05,-0.11
192910,0.00,-0.66
192911,0.00,-1.65
192912,0.08,-2.81
193001,5.02,0.95
193002,1.44,-2.74
193003,3.80,0.44
193004,0.66,-0.72
193005,1.20,0.79
193006,0.03,-0.01
193007,0.00,-0.02
193008,0.00,-0.03
193009,0.19,0.03
193010,0.05,-0.61
193011,2.03,0.38
193012,0.02,-2.87
193101,4.80,0.73
193102,3.16,-1.02
193103,0.17,-3.19
193104,1.29,-0.09
193105,1.53,1.12
193106,0.08,0.04
193107,0.00,-0.02
193108,0.15,0.12
193109,0.01,-0.15
193110,0.05,-0.61
193111,2.93,1.28
193112,9.14,6.25
193201,3.28,-0.79
193202,5.95,1.77
193203,0.21,-3.15
193204,0.66,-0.72
193205,0.17,-0.24
193206,0.02,-0.02
193207,0.00,-0.02
193208,0.00,-0.03
193209,0.26,0.10
193210,0.06,-0.60
193211,0.07,-1.58
193212,1.45,-1.44
193301,8.33,4.26
193302,0.18,-4.00
193303,0.40,-2.96
193304,0.49,-0.89
193305,0.54,0.13
193306,0.30,0.26
193307,0.00,-0.02
193308,0.01,-0.02
193309,0.00,-0.16
193310,0.61,-0.05
193311,0.07,-1.58
193312,4.34,1.45
193401,1.50,-2.57
193402,3.51,-0.67
193403,0.13,-3.23
193404,0.00,-1.38
193405,0.29,-0.12
193406,0.25,0.21
193407,0.00,-0.02
193408,0.00,-0.03
193409,0.02,-0.14
193410,2.15,1.49
193411,3.41,1.76
193412,3.02,0.13
193501,5.17,1.10
193502,2.35,-1.83
193503,3.47,0.11
193504,2.89,1.51
193505,0.13,-0.28
193506,0.00,-0.04
193507,0.04,0.02
193508,0.20,0.17
193509,0.03,-0.13
193510,0.71,0.05
193511,0.97,-0.68
193512,1.85,-1.04
193601,0.79,-3.28
193602,9.27,5.09
193603,1.76,-1.60
193604,0.66,-0.72
193605,0.21,-0.20
193606,0.08,0.04
193607,0.02,0.00
193608,0.18,0.15
193609,0.04,-0.12
193610,3.02,2.36
193611,0.03,-1.62
193612,6.68,3.79
193701,3.80,-0.27
193702,6.74,2.56
193703,5.21,1.85
193704,0.24,-1.14
193705,0.06,-0.35
193706,0.00,-0.04
193707,0.00,-0.02
193708,0.00,-0.03
193709,0.00,-0.16
193710,0.16,-0.50
193711,0.21,-1.44
193712,3.57,0.68
193801,3.16,-0.91
193802,8.59,4.41
193803,8.59,5.23
193804,1.60,0.22
193805,0.03,-0.38
193806,0.00,-0.04
193807,0.01,-0.01
193808,0.03,0.00
193809,0.43,0.27
193810,0.20,-0.46
193811,0.13,-1.52
193812,4.83,1.94
193901,3.74,-0.33
193902,1.88,-2.30
193903,3.17,-0.19
193904,0.36,-1.02
193905,0.21,-0.20
193906,0.00,-0.04
193907,0.00,-0.02
193908,0.01,-0.02
193909,0.65,0.49
193910,0.58,-0.08
193911,0.57,-1.08
193912,1.49,-1.40
194001,5.49,1.42
194002,4.58,0.40
194003,1.25,-2.11
194004,1.80,0.42
194005,0.01,-0.40
194006,0.00,-0.04
194007,0.00,-0.02
194008,0.00,-0.03
194009,0.01,-0.15
194010,1.06,0.40
194011,0.36,-1.29
194012,7.83,4.94
194101,7.70,3.63
194102,9.33,5.15
194103,10.78,7.42
194104,4.86,3.48
194105,0.24,-0.17
194106,0.00,-0.04
194107,0.05,0.03
194108,0.03,0.00
194109,0.00,-0.16
194110,1.27,0.61
194111,0.48,-1.17
194112,7.51,4.62
194201,1.58,-2.49
194202,0.81,-3.37
194203,1.71,-1.65
194204,3.81,2.43
194205,0.19,-0.22
194206,0.00,-0.04
194207,0.00,-0.02
194208,0.09,0.06
194209,0.00,-0.16
194210,0.98,0.32
194211,0.68,-0.97
194212,1.77,-1.12
194301,11.44,7.37
194302,3.23,-0.95
194303,3.32,-0.04
194304,1.41,0.03
194305,0.09,-0.32
194306,0.00,-0.04
194307,0.00,-0.02
194308,0.00,-0.03
194309,0.01,-0.15
194310,0.75,0.09
194311,0.17,-1.48
194312,5.13,2.24
194401,1.82,-2.25
194402,8.75,4.57
194403,1.54,-1.82
194404,1.37,-0.01
194405,0.10,-0.31
194406,0.01,-0.03
194407,0.00,-0.02
194408,0.00,-0.03
194409,0.00,-0.16
194410,0.03,-0.63
194411,4.42,2.77
194412,1.42,-1.47
194501,0.44,-3.63
194502,5.13,0.95
194503,3.94,0.58
194504,0.11,-1.27
194505,0.22,-0.19
194506,0.02,-0.02
194507,0.00,-0.02
194508,0.09,0.06
194509,0.14,-0.02
194510,0.72,0.06
194511,0.67,-0.98
194512,5.75,2.86
194601,0.56,-3.51
194602,1.70,-2.48
194603,5.08,1.72
194604,0.64,-0.74
194605,0.11,-0.30
194606,0.00,-0.04
194607,0.02,0.00
194608,0.00,-0.03
194609,0.01,-0.15
194610,0.53,-0.13
194611,6.44,4.79
194612,2.70,-0.19
194701,0.51,-3.56
194702,0.69,-3.49
194703,1.39,-1.97
194704,0.30,-1.08
194705,0.18,-0.23
194706,0.02,-0.02
194707,0.00,-0.02
194708,0.05,0.02
194709,0.02,-0.14
194710,0.36,-0.30
194711,0.03,-1.62
194712,0.85,-2.04
194801,0.01,-4.06
194802,1.79,-2.39
194803,3.68,0.32
194804,2.08,0.70
194805,0.64,0.23
194806,0.11,0.07
194807,0.00,-0.02
194808,0.00,-0.03
194809,0.00,-0.16
194810,0.09,-0.57
194811,0.01,-1.64
194812,3.95,1.06
194901,1.55,-2.52
194902,1.57,-2.61
194903,3.52,0.16
194904,0.13,-1.25
194905,1.28,0.87
194906,0.05,0.01
194907,0.01,-0.01
194908,0.00,-0.03
194909,0.00,-0.16
194910,0.02,-0.64
194911,1.59,-0.06
194912,3.89,1.00
195001,3.17,-0.90
195002,2.22,-1.96
195003,1.46,-1.90
195004,0.87,-0.51
195005,0.12,-0.29
195006,0.02,-0.02
195007,0.16,0.14
195008,0.00,-0.03
195009,0.17,0.01
195010,1.07,0.41
195011,1.66,0.01
195012,0.84,-2.05
195101,2.80,-1.27
195102,1.61,-2.57
195103,0.86,-2.50
195104,2.12,0.74
195105,0.04,-0.37
195106,0.00,-0.04
195107,0.00,-0.02
195108,0.01,-0.02
195109,0.02,-0.14
195110,0.71,0.05
195111,1.66,0.01
195112,4.68,1.79
195201,11.25,7.18
195202,0.70,-3.48
195203,8.15,4.79
195204,1.32,-0.06
195205,0.01,-0.40
195206,0.03,-0.01
195207,0.03,0.01
195208,0.00,-0.03
195209,0.04,-0.12
195210,0.03,-0.63
195211,4.32,2.67
195212,6.31,3.42
195301,1.52,-2.55
195302,0.17,-4.01
195303,0.65,-2.71
195304,1.41,0.03
195305,0.14,-0.27
195306,0.08,0.04
195307,0.00,-0.02
195308,0.03,0.00
195309,0.00,-0.16
195310,0.00,-0.66
195311,3.05,1.40
195312,0.22,-2.67
195401,5.34,1.27
195402,2.43,-1.75
195403,4.68,1.32
195404,0.36,-1.02
195405,0.03,-0.38
195406,0.02,-0.02
195407,0.00,-0.02
195408,0.00,-0.03
195409,0.00,-0.16
195410,0.00,-0.66
195411,1.63,-0.02
195412,2.77,-0.12
195501,5.49,1.42
195502,1.94,-2.24
195503,0.57,-2.79
195504,2.85,1.47
195505,1.22,0.81
195506,0.02,-0.02
195507,0.00,-0.02
195508,0.04,0.01
195509,0.00,-0.16
195510,0.00,-0.66
195511,1.71,0.06
195512,6.03,3.14
195601,5.03,0.96
195602,1.09,-3.09
195603,0.01,-3.35
195604,2.61,1.23
195605,1.32,0.91
195606,0.00,-0.04
195607,0.00,-0.02
195608,0.00,-0.03
195609,0.00,-0.16
195610,0.75,0.09
195611,0.00,-1.65
195612,0.31,-2.58
195701,5.04,0.97
195702,3.25,-0.93
195703,1.26,-2.10
195704,1.97,0.59
195705,1.26,0.85
195706,0.18,0.14
195707,0.00,-0.02
195708,0.00,-0.03
195709,0.02,-0.14
195710,1.33,0.67
195711,0.48,-1.17
195712,4.47,1.58
195801,2.99,-1.08
195802,8.19,4.01
195803,7.06,3.70
195804,6.19,4.81
195805,0.62,0.21
195806,0.00,-0.04
195807,0.00,-0.02
195808,0.05,0.02
195809,0.73,0.57
195810,0.01,-0.65
195811,0.36,-1.29
195812,0.13,-2.76
195901,3.44,-0.63
195902,5.98,1.80
195903,0.01,-3.35
195904,0.71,-0.67
195905,0.03,-0.38
195906,0.00,-0.04
195907,0.00,-0.02
195908,0.01,-0.02
195909,0.17,0.01
195910,0.00,-0.66
195911,0.00,-1.65
195912,1.14,-1.75
196001,4.31,0.24
196002,3.95,-0.23
196003,0.72,-2.64
196004,2.29,0.91
196005,0.01,-0.40
196006,0.00,-0.04
196007,0.00,-0.02
196008,0.00,-0.03
196009,0.00,-0.16
196010,0.52,-0.14
196011,5.66,4.01
196012,0.82,-2.07
196101,1.75,-2.32
196102,0.23,-3.95
196103,0.97,-2.39
196104,0.23,-1.15
196105,0.11,-0.30
196106,0.03,-0.01
196107,0.01,-0.01
196108,0.05,0.02
196109,0.04,-0.12
196110,0.01,-0.65
196111,3.52,1.87
196112,2.18,-0.71
196201,2.80,-1.27
196202,15.42,11.24
196203,1.92,-1.44
196204,0.04,-1.34
196205,0.13,-0.28
196206,0.02,-0.02
196207,0.00,-0.02
196208,0.00,-0.03
196209,0.00,-0.16
196210,0.51,-0.15
196211,0.00,-1.65
196212,0.43,-2.46
196301,1.47,-2.60
196302,5.40,1.22
196303,3.66,0.30
196304,2.88,1.50
196305,0.49,0.08
196306,0.23,0.19
196307,0.00,-0.02
196308,0.08,0.05
196309,0.73,0.57
196310,1.27,0.61
196311,3.31,1.66
196312,0.12,-2.77
196401,2.33,-1.74
196402,0.12,-4.06
196403,2.34,-1.02
196404,1.27,-0.11
196405,0.38,-0.03
196406,0.12,0.08
196407,0.01,-0.01
196408,0.06,0.03
196409,0.04,-0.12
196410,1.54,0.88
196411,3.09,1.44
196412,3.31,0.42
196501,1.15,-2.92
196502,0.59,-3.59
196503,2.17,-1.19
196504,5.24,3.86
196505,0.01,-0.40
196506,0.00,-0.04
196507,0.04,0.02
196508,0.04,0.01
196509,0.09,-0.07
196510,0.01,-0.65
196511,7.68,6.03
196512,4.70,1.81
196601,2.01,-2.06
196602,1.23,-2.95
196603,0.23,-3.13
196604,0.05,-1.33
196605,0.05,-0.36
196606,0.01,-0.03
196607,0.07,0.05
196608,0.00,-0.03
196609,0.16,0.00
196610,0.03,-0.63
196611,3.83,2.18
196612,5.15,2.26
196701,5.23,1.16
196702,0.50,-3.68
196703,3.30,-0.06
196704,5.70,4.32
196705,0.17,-0.24
196706,0.16,0.12
196707,0.00,-0.02
196708,0.03,0.00
196709,0.30,0.14
196710,0.00,-0.66
196711,4.06,2.41
196712,1.45,-1.44
196801,1.32,-2.75
196802,1.44,-2.74
196803,2.92,-0.44
196804,1.11,-0.27
196805,0.06,-0.35
196806,0.00,-0.04
196807,0.00,-0.02
196808,0.01,-0.02
196809,0.00,-0.16
196810,2.05,1.39
196811,1.09,-0.56
196812,2.17,-0.72
196901,14.82,10.75
196902,11.47,7.29
196903,1.07,-2.29
196904,2.39,1.01
196905,0.09,-0.32
196906,0.02,-0.02
196907,0.06,0.04
196908,0.00,-0.03
196909,0.07,-0.09
196910,0.15,-0.51
196911,1.73,0.08
196912,0.59,-2.30
197001,3.10,-0.97
197002,2.91,-1.27
197003,3.31,-0.05
197004,0.08,-1.30
197005,0.00,-0.41
197006,0.01,-0.03
197007,0.00,-0.02
197008,0.00,-0.03
197009,0.00,-0.16
197010,0.05,-0.61
197011,5.34,3.69
197012,4.93,2.04
197101,1.00,-3.07
197102,0.86,-3.32
197103,0.63,-2.73
197104,0.96,-0.42
197105,1.14,0.73
197106,0.01,-0.03
197107,0.01,-0.01
197108,0.00,-0.03
197109,0.03,-0.13
197110,0.35,-0.31
197111,0.68,-0.97
197112,7.16,4.27
197201,0.19,-3.88
197202,0.39,-3.79
197203,0.00,-3.36
197204,0.24,-1.14
197205,0.04,-0.37
197206,0.02,-0.02
197207,0.04,0.02
197208,0.00,-0.03
197209,0.01,-0.15
197210,0.58,-0.08
197211,5.57,3.92
197212,1.43,-1.46
197301,6.24,2.17
197302,9.17,4.99
197303,3.60,0.24
197304,0.03,-1.35
197305,0.09,-0.32
197306,0.01,-0.03
197307,0.00,-0.02
197308,0.00,-0.03
197309,0.05,-0.11
197310,0.64,-0.02
197311,2.59,0.94
197312,2.32,-0.57
197401,7.55,3.48
197402,0.12,-4.06
197403,4.57,1.21
197404,0.89,-0.49
197405,0.02,-0.39
197406,0.00,-0.04
197407,0.03,0.01
197408,0.00,-0.03
197409,0.00,-0.16
197410,1.17,0.51
197411,0.25,-1.40
197412,6.08,3.19
197501,0.23,-3.84
197502,4.57,0.39
197503,5.25,1.89
197504,1.10,-0.28
197505,0.01,-0.40
197506,0.01,-0.03
197507,0.00,-0.02
197508,0.03,0.00
197509,0.00,-0.16
197510,0.64,-0.02
197511,0.42,-1.23
197512,0.18,-2.71
197601,0.01,-4.06
197602,6.56,2.38
197603,1.41,-1.95
197604,1.35,-0.03
197605,0.07,-0.34
197606,0.14,0.10
197607,0.02,0.00
197608,0.13,0.10
197609,0.84,0.68
197610,0.66,0.00
197611,0.77,-0.88
197612,0.97,-1.92
197701,3.49,-0.58
197702,0.15,-4.03
197703,2.02,-1.34
197704,0.01,-1.37
197705,1.99,1.58
197706,0.02,-0.02
197707,0.00,-0.02
197708,0.12,0.09
197709,0.00,-0.16
197710,0.05,-0.61
197711,0.16,-1.49
197712,4.84,1.95
197801,7.55,3.48
197802,10.60,6.42
197803,9.94,6.58
197804,2.97,1.59
197805,0.04,-0.37
197806,0.01,-0.03
197807,0.00,-0.02
197808,0.01,-0.02
197809,0.83,0.67
197810,0.00,-0.66
197811,2.22,0.57
197812,1.66,-1.23
197901,5.82,1.75
197902,4.58,0.40
197903,5.12,1.76
197904,0.02,-1.36
197905,0.05,-0.36
197906,0.00,-0.04
197907,0.00,-0.02
197908,0.00,-0.03
197909,0.41,0.25
197910,0.71,0.05
197911,0.80,-0.85
197912,2.12,-0.77
198001,5.39,1.32
198002,9.36,5.18
198003,2.81,-0.55
198004,1.29,-0.09
198005,0.30,-0.11
198006,0.00,-0.04
198007,0.05,0.03
198008,0.00,-0.03
198009,0.00,-0.16
198010,0.10,-0.56
198011,0.00,-1.65
198012,1.20,-1.69
198101,4.13,0.06
198102,2.97,-1.21
198103,6.66,3.30
198104,0.65,-0.73
198105,0.04,-0.37
198106,0.00,-0.04
198107,0.00,-0.02
198108,0.00,-0.03
198109,0.00,-0.16
198110,0.76,0.10
198111,1.65,0.00
198112,0.74,-2.15
198201,3.91,-0.16
198202,0.95,-3.23
198203,5.92,2.56
198204,3.60,2.22
198205,0.01,-0.40
198206,0.03,-0.01
198207,0.00,-0.02
198208,0.05,0.02
198209,0.58,0.42
198210,1.31,0.65
198211,5.23,3.58
198212,2.52,-0.37
198301,9.29,5.22
198302,6.69,2.51
198303,8.61,5.25
198304,4.45,3.07
198305,0.26,-0.15
198306,0.01,-0.03
198307,0.00,-0.02
198308,0.20,0.17
198309,0.24,0.08
198310,1.52,0.86
198311,3.77,2.12
198312,4.10,1.21
198401,0.17,-3.90
198402,0.34,-3.84
198403,0.49,-2.87
198404,0.59,-0.79
198405,0.00,-0.41
198406,0.05,0.01
198407,0.03,0.01
198408,0.08,0.05
198409,0.20,0.04
198410,0.42,-0.24
198411,3.20,1.55
198412,5.10,2.21
198501,1.18,-2.89
198502,1.29,-2.89
198503,1.72,-1.64
198504,0.07,-1.31
198505,0.00,-0.41
198506,0.00,-0.04
198507,0.01,-0.01
198508,0.01,-0.02
198509,0.10,-0.06
198510,0.55,-0.11
198511,4.83,3.18
198512,1.00,-1.89
198601,2.12,-1.95
198602,6.61,2.43
198603,5.50,2.14
198604,0.78,-0.60
198605,0.03,-0.38
198606,0.00,-0.04
198607,0.00,-0.02
198608,0.00,-0.03
198609,0.62,0.46
198610,0.06,-0.60
198611,1.23,-0.42
198612,1.01,-1.88
198701,2.13,-1.94
198702,1.93,-2.25
198703,3.67,0.31
198704,0.19,-1.19
198705,0.05,-0.36
198706,0.07,0.03
198707,0.02,0.00
198708,0.00,-0.03
198709,0.00,-0.16
198710,2.27,1.61
198711,1.84,0.19
198712,4.49,1.60
198801,2.64,-1.43
198802,2.95,-1.23
198803,0.55,-2.81
198804,3.79,2.41
198805,0.12,-0.29
198806,0.10,0.06
198807,0.01,-0.01
198808,0.00,-0.03
198809,0.01,-0.15
198810,0.00,-0.66
198811,1.00,-0.65
198812,4.47,1.58
198901,0.48,-3.59
198902,2.25,-1.93
198903,0.70,-2.66
198904,0.20,-1.18
198905,0.39,-0.02
198906,0.00,-0.04
198907,0.00,-0.02
198908,0.00,-0.03
198909,0.55,0.39
198910,0.41,-0.25
198911,0.42,-1.23
198912,0.01,-2.88
199001,3.19,-0.88
199002,2.23,-1.95
199003,0.31,-3.05
199004,0.37,-1.01
199005,0.63,0.22
199006,0.01,-0.03
199007,0.00,-0.02
199008,0.00,-0.03
199009,0.20,0.04
199010,0.00,-0.66
199011,0.43,-1.22
199012,0.46,-2.43
199101,1.51,-2.56
199102,2.67,-1.51
199103,14.19,10.83
199104,0.15,-1.23
199105,0.00,-0.41
199106,0.12,0.08
199107,0.04,0.02
199108,0.05,0.02
199109,0.01,-0.15
199110,0.41,-0.25
199111,0.14,-1.51
199112,4.80,1.91
199201,2.87,-1.20
199202,9.96,5.78
199203,3.85,0.49
199204,0.02,-1.36
199205,0.07,-0.34
199206,0.01,-0.03
199207,0.18,0.16
199208,0.00,-0.03
199209,0.06,-0.10
199210,1.07,0.41
199211,0.00,-1.65
199212,4.91,2.02
199301,9.46,5.39
199302,8.91,4.73
199303,5.05,1.69
199304,0.04,-1.34
199305,0.14,-0.27
199306,0.24,0.20
199307,0.00,-0.02
199308,0.00,-0.03
199309,0.00,-0.16
199310,0.33,-0.33
199311,1.22,-0.43
199312,1.92,-0.97
199401,1.83,-2.24
199402,6.11,1.93
199403,2.34,-1.02
199404,0.83,-0.55
199405,0.91,0.50
199406,0.00,-0.04
199407,0.00,-0.02
