Madera County, California, Precipitation
191906,0.00,-0.28
191907,0.00,-0.09
191908,0.00,-0.11
191909,1.48,1.07
191910,0.50,-0.58
191911,0.26,-2.08
191912,3.29,-0.22
192001,1.00,-3.44
192002,2.96,-1.05
192003,6.84,3.00
192004,2.68,0.65
192005,0.04,-0.94
192006,0.33,0.05
192007,0.00,-0.09
192008,0.58,0.47
192009,0.05,-0.36
192010,2.90,1.82
192011,2.40,0.06
192012,3.73,0.22
192101,5.91,1.47
192102,2.23,-1.78
192103,2.43,-1.41
192104,0.49,-1.54
192105,1.97,0.99
192106,0.09,-0.19
192107,0.00,-0.09
192108,0.00,-0.11
192109,0.40,-0.01
192110,0.27,-0.81
192111,0.45,-1.89
192112,8.88,5.37
192201,4.42,-0.02
192202,5.52,1.51
192203,4.06,0.22
192204,0.50,-1.53
192205,1.56,0.58
192206,0.32,0.04
192207,0.18,0.09
192208,0.28,0.17
192209,0.00,-0.41
192210,0.83,-0.25
192211,3.46,1.12
192212,5.33,1.82
192301,4.53,0.09
192302,0.73,-3.28
192303,0.50,-3.34
192304,5.36,3.33
192305,0.52,-0.46
192306,0.31,0.03
192307,0.00,-0.09
192308,0.02,-0.09
192309,1.61,1.20
192310,0.68,-0.40
192311,0.38,-1.96
192312,0.89,-2.62
192401,1.86,-2.58
192402,0.58,-3.43
192403,3.57,-0.27
192404,0.94,-1.09
192405,0.20,-0.78
192406,0.00,-0.28
192407,0.00,-0.09
192408,0.00,-0.11
192409,0.00,-0.41
192410,2.56,1.48
192411,2.37,0.03
192412,4.05,0.54
192501,1.28,-3.16
192502,5.43,1.42
192503,3.44,-0.40
192504,3.00,0.97
192505,1.55,0.57
192506,0.45,0.17
192507,0.25,0.16
192508,0.24,0.13
192509,0.15,-0.26
192510,1.58,0.50
192511,1.12,-1.22
192512,1.58,-1.93
192601,3.08,-1.36
192602,5.26,1.25
192603,0.84,-3.00
192604,4.52,2.49
192605,0.50,-0.48
192606,0.20,-0.08
192607,0.06,-0.03
192608,0.00,-0.11
192609,0.00,-0.41
192610,0.29,-0.79
192611,7.02,4.68
192612,1.75,-1.76
192701,2.97,-1.47
192702,6.67,2.66
192703,2.57,-1.27
192704,2.45,0.42
192705,0.41,-0.57
192706,0.37,0.09
192707,0.08,-0.01
192708,0.13,0.02
192709,0.14,-0.27
192710,3.42,2.34
192711,3.11,0.77
192712,2.37,-1.14
192801,1.64,-2.80
192802,2.21,-1.80
192803,5.09,1.25
192804,1.77,-0.26
192805,0.67,-0.31
192806,0.08,-0.20
192807,0.02,-0.07
192808,0.00,-0.11
192809,0.00,-0.41
192810,0.12,-0.96
192811,2.73,0.39
192812,2.53,-0.98
192901,2.02,-2.42
192902,1.73,-2.28
192903,3.37,-0.47
192904,2.72,0.69
192905,0.23,-0.75
192906,1.55,1.27
192907,0.02,-0.07
192908,0.04,-0.07
192909,0.26,-0.15
192910,0.03,-1.05
192911,0.00,-2.34
192912,1.49,-2.02
193001,4.81,0.37
193002,3.35,-0.66
193003,2.50,-1.34
193004,1.67,-0.36
193005,1.53,0.55
193006,0.05,-0.23
193007,0.00,-0.09
193008,0.05,-0.06
193009,0.61,0.20
193010,0.30,-0.78
193011,2.47,0.13
193012,0.18,-3.33
193101,3.08,-1.36
193102,1.93,-2.08
193103,1.41,-2.43
193104,1.42,-0.61
193105,1.65,0.67
193106,0.75,0.47
193107,0.00,-0.09
193108,0.22,0.11
193109,0.25,-0.16
193110,0.30,-0.78
193111,3.12,0.78
193112,8.82,5.31
193201,4.03,-0.41
193202,4.77,0.76
193203,1.01,-2.83
193204,0.89,-1.14
193205,1.12,0.14
193206,0.16,-0.12
193207,0.02,-0.07
193208,0.01,-0.10
193209,0.17,-0.24
193210,0.09,-0.99
193211,0.61,-1.73
193212,2.03,-1.48
193301,6.74,2.30
193302,0.84,-3.17
193303,3.06,-0.78
193304,0.50,-1.53
193305,1.81,0.83
193306,0.31,0.03
193307,0.02,-0.07
193308,0.03,-0.08
193309,0.01,-0.40
193310,1.15,0.07
193311,0.09,-2.25
193312,5.33,1.82
193401,1.50,-2.94
193402,4.02,0.01
193403,0.35,-3.49
193404,0.06,-1.97
193405,0.81,-0.17
193406,0.55,0.27
193407,0.00,-0.09
193408,0.13,0.02
193409,0.38,-0.03
193410,1.72,0.64
193411,4.12,1.78
193412,3.26,-0.25
193501,6.21,1.77
193502,2.76,-1.25
193503,4.68,0.84
193504,6.65,4.62
193505,0.21,-0.77
193506,0.00,-0.28
193507,0.05,-0.04
193508,0.30,0.19
193509,0.05,-0.36
193510,1.38,0.30
193511,1.18,-1.16
193512,2.01,-1.50
193601,3.62,-0.82
193602,12.59,8.58
193603,2.28,-1.56
193604,1.45,-0.58
193605,0.32,-0.66
193606,0.48,0.20
193607,0.30,0.21
193608,0.06,-0.05
193609,0.07,-0.34
193610,2.22,1.14
193611,0.02,-2.32
193612,6.81,3.30
193701,3.68,-0.76
193702,7.65,3.64
193703,4.81,0.97
193704,1.27,-0.76
193705,0.01,-0.97
193706,0.04,-0.24
193707,0.09,0.00
193708,0.00,-0.11
193709,0.00,-0.41
193710,0.17,-0.91
193711,1.14,-1.20
193712,6.87,3.36
193801,4.13,-0.31
193802,9.64,5.63
193803,10.33,6.49
193804,2.73,0.70
193805,0.76,-0.22
193806,0.30,0.02
193807,0.27,0.18
193808,0.02,-0.09
193809,0.57,0.16
193810,1.95,0.87
193811,0.92,-1.42
193812,1.48,-2.03
193901,3.19,-1.25
193902,2.45,-1.56
193903,3.10,-0.74
193904,0.76,-1.27
193905,0.83,-0.15
193906,0.29,0.01
193907,0.06,-0.03
193908,0.07,-0.04
193909,1.47,1.06
193910,1.94,0.86
193911,0.13,-2.21
193912,0.70,-2.81
194001,11.11,6.67
194002,7.08,3.07
194003,3.33,-0.51
194004,0.98,-1.05
194005,0.03,-0.95
194006,0.06,-0.22
194007,0.00,-0.09
194008,0.00,-0.11
194009,0.06,-0.35
194010,1.83,0.75
194011,0.28,-2.06
194012,9.76,6.25
194101,4.28,-0.16
194102,7.55,3.54
194103,3.40,-0.44
194104,4.91,2.88
194105,0.39,-0.59
194106,0.12,-0.16
194107,0.01,-0.08
194108,0.23,0.12
194109,0.02,-0.39
194110,1.59,0.51
194111,1.52,-0.82
194112,9.36,5.85
194201,3.64,-0.80
194202,2.98,-1.03
194203,2.21,-1.63
194204,4.13,2.10
194205,1.98,1.00
194206,0.00,-0.28
194207,0.00,-0.09
194208,0.04,-0.07
194209,0.04,-0.37
194210,0.15,-0.93
194211,3.96,1.62
194212,2.74,-0.77
194301,7.28,2.84
194302,2.35,-1.66
194303,6.62,2.78
194304,1.77,-0.26
194305,0.35,-0.63
194306,0.25,-0.03
194307,0.03,-0.06
194308,0.00,-0.11
194309,0.06,-0.35
194310,0.72,-0.36
194311,0.93,-1.41
194312,2.76,-0.75
194401,3.45,-0.99
194402,6.20,2.19
194403,1.77,-2.07
194404,2.49,0.46
194405,0.61,-0.37
194406,0.39,0.11
194407,0.00,-0.09
194408,0.00,-0.11
194409,0.07,-0.34
194410,1.33,0.25
194411,5.72,3.38
194412,2.93,-0.58
194501,0.62,-3.82
194502,6.92,2.91
194503,5.33,1.49
194504,0.75,-1.28
194505,0.99,0.01
194506,0.30,0.02
194507,0.02,-0.07
194508,0.22,0.11
194509,0.21,-0.20
194510,3.23,2.15
194511,2.56,0.22
194512,5.82,2.31
194601,0.91,-3.53
194602,2.43,-1.58
194603,4.47,0.63
194604,0.22,-1.81
194605,1.12,0.14
194606,0.00,-0.28
194607,0.14,0.05
194608,0.03,-0.08
194609,0.20,-0.21
194610,2.01,0.93
194611,5.86,3.52
194612,4.14,0.63
194701,0.70,-3.74
194702,1.80,-2.21
194703,1.88,-1.96
194704,0.82,-1.21
194705,0.75,-0.23
194706,0.07,-0.21
194707,0.00,-0.09
194708,0.02,-0.09
194709,0.33,-0.08
194710,1.84,0.76
194711,0.88,-1.46
194712,0.82,-2.69
194801,0.52,-3.92
194802,2.05,-1.96
194803,5.20,1.36
194804,5.49,3.46
194805,1.64,0.66
194806,0.22,-0.06
194807,0.00,-0.09
194808,0.00,-0.11
194809,0.01,-0.40
194810,0.64,-0.44
194811,0.18,-2.16
194812,3.82,0.31
194901,2.08,-2.36
194902,2.81,-1.20
194903,5.54,1.70
194904,0.18,-1.85
194905,1.82,0.84
194906,0.03,-0.25
194907,0.01,-0.08
194908,0.09,-0.02
194909,0.04,-0.37
194910,0.04,-1.04
194911,2.20,-0.14
194912,2.36,-1.15
195001,5.14,0.70
195002,3.00,-1.01
195003,2.65,-1.19
195004,2.10,0.07
195005,0.52,-0.46
195006,0.01,-0.27
195007,0.20,0.11
195008,0.03,-0.08
195009,0.34,-0.07
195010,2.50,1.42
195011,8.31,5.97
195012,5.51,2.00
195101,3.37,-1.07
195102,2.30,-1.71
195103,1.13,-2.71
195104,2.27,0.24
195105,0.35,-0.63
195106,0.19,-0.09
195107,0.02,-0.07
195108,0.02,-0.09
195109,0.03,-0.38
195110,1.04,-0.04
195111,2.54,0.20
195112,7.93,4.42
195201,7.23,2.79
195202,1.87,-2.14
195203,6.27,2.43
195204,2.61,0.58
195205,0.11,-0.87
195206,0.09,-0.19
195207,0.35,0.26
195208,0.02,-0.09
195209,0.47,0.06
195210,0.09,-0.99
195211,2.07,-0.27
195212,6.04,2.53
195301,3.05,-1.39
195302,0.20,-3.81
195303,1.74,-2.10
195304,2.31,0.28
195305,1.23,0.25
195306,0.72,0.44
195307,0.07,-0.02
195308,0.01,-0.10
195309,0.03,-0.38
195310,0.52,-0.56
195311,2.16,-0.18
195312,1.08,-2.43
195401,3.93,-0.51
195402,3.61,-0.40
195403,5.42,1.58
195404,1.45,-0.58
195405,0.33,-0.65
195406,0.91,0.63
195407,0.05,-0.04
195408,0.00,-0.11
195409,0.00,-0.41
195410,0.00,-1.08
195411,2.55,0.21
195412,3.45,-0.06
195501,4.74,0.30
195502,2.11,-1.90
195503,0.53,-3.31
195504,3.08,1.05
195505,1.59,0.61
195506,0.03,-0.25
195507,0.04,-0.05
195508,0.02,-0.09
195509,0.05,-0.36
195510,0.05,-1.03
195511,2.34,0.00
195512,15.80,12.29
195601,5.52,1.08
195602,1.51,-2.50
195603,0.11,-3.73
195604,3.73,1.70
195605,2.17,1.19
195606,0.03,-0.25
195607,0.25,0.16
195608,0.01,-0.10
195609,0.25,-0.16
195610,1.84,0.76
195611,0.00,-2.34
195612,0.97,-2.54
195701,3.53,-0.91
195702,3.29,-0.72
195703,2.51,-1.33
195704,2.03,0.00
195705,3.80,2.82
195706,0.20,-0.08
195707,0.03,-0.06
195708,0.00,-0.11
195709,0.43,0.02
195710,1.34,0.26
195711,1.33,-1.01
195712,4.12,0.61
195801,3.90,-0.54
195802,6.61,2.60
195803,8.70,4.86
195804,5.24,3.21
195805,1.06,0.08
195806,0.35,0.07
195807,0.15,0.06
195808,0.15,0.04
195809,0.95,0.54
195810,0.04,-1.04
195811,0.61,-1.73
195812,0.55,-2.96
195901,3.62,-0.82
195902,6.43,2.42
195903,0.36,-3.48
195904,1.33,-0.70
195905,0.43,-0.55
195906,0.01,-0.27
195907,0.01,-0.08
195908,0.04,-0.07
195909,2.03,1.62
195910,0.01,-1.07
195911,0.00,-2.34
195912,0.90,-2.61
196001,3.46,-0.98
196002,4.88,0.87
196003,2.91,-0.93
196004,2.23,0.20
196005,0.21,-0.77
196006,0.00,-0.28
196007,0.15,0.06
196008,0.01,-0.10
196009,0.09,-0.32
196010,0.47,-0.61
196011,4.58,2.24
196012,1.66,-1.85
196101,1.92,-2.52
196102,1.27,-2.74
196103,2.84,-1.00
196104,1.21,-0.82
196105,1.35,0.37
196106,0.11,-0.17
196107,0.15,0.06
196108,0.30,0.19
196109,0.34,-0.07
196110,0.37,-0.71
196111,2.92,0.58
196112,2.16,-1.35
196201,2.41,-2.03
196202,11.43,7.42
196203,3.22,-0.62
196204,0.32,-1.71
196205,0.69,-0.29
196206,0.19,-0.09
196207,0.18,0.09
196208,0.10,-0.01
196209,0.22,-0.19
196210,1.27,0.19
196211,0.28,-2.06
196212,1.35,-2.16
196301,6.10,1.66
196302,4.77,0.76
196303,4.15,0.31
196304,5.71,3.68
196305,1.54,0.56
196306,0.45,0.17
196307,0.00,-0.09
196308,0.15,0.04
196309,0.55,0.14
196310,1.45,0.37
196311,5.66,3.32
196312,0.46,-3.05
196401,2.21,-2.23
196402,0.08,-3.93
196403,2.77,-1.07
196404,1.42,-0.61
196405,1.45,0.47
196406,0.62,0.34
196407,0.11,0.02
196408,0.27,0.16
196409,0.17,-0.24
196410,1.69,0.61
196411,4.48,2.14
196412,8.99,5.48
196501,4.27,-0.17
196502,1.15,-2.86
196503,2.08,-1.76
196504,4.16,2.13
196505,0.34,-0.64
196506,0.18,-0.10
196507,0.12,0.03
196508,0.36,0.25
196509,0.08,-0.33
196510,0.31,-0.77
196511,8.58,6.24
196512,3.81,0.30
196601,1.26,-3.18
196602,1.80,-2.21
196603,0.39,-3.45
196604,0.88,-1.15
196605,0.50,-0.48
196606,0.13,-0.15
196607,0.06,-0.03
196608,0.15,0.04
196609,0.24,-0.17
196610,0.01,-1.07
196611,3.95,1.61
196612,7.75,4.24
196701,5.66,1.22
196702,0.53,-3.48
196703,7.04,3.20
196704,8.71,6.68
196705,0.93,-0.05
196706,0.30,0.02
196707,0.13,0.04
196708,0.15,0.04
196709,0.73,0.32
196710,0.12,-0.96
196711,2.53,0.19
196712,2.79,-0.72
196801,2.29,-2.15
196802,2.07,-1.94
196803,2.24,-1.60
196804,0.96,-1.07
196805,0.93,-0.05
196806,0.27,-0.01
196807,0.12,0.03
196808,0.20,0.09
196809,0.01,-0.40
196810,1.66,0.58
196811,3.18,0.84
196812,6.34,2.83
196901,14.24,9.80
196902,9.10,5.09
196903,2.92,-0.92
196904,3.23,1.20
196905,0.17,-0.81
196906,0.75,0.47
196907,0.15,0.06
196908,0.04,-0.07
196909,0.13,-0.28
196910,1.75,0.67
196911,1.38,-0.96
196912,3.31,-0.20
197001,7.59,3.15
197002,1.92,-2.09
197003,3.00,-0.84
197004,0.98,-1.05
197005,0.00,-0.98
197006,0.68,0.40
197007,0.03,-0.06
197008,0.00,-0.11
197009,0.00,-0.41
197010,0.39,-0.69
197011,5.81,3.47
197012,5.64,2.13
197101,1.89,-2.55
197102,0.78,-3.23
197103,2.10,-1.74
197104,1.12,-0.91
197105,2.92,1.94
197106,0.08,-0.20
197107,0.12,0.03
197108,0.26,0.15
197109,0.47,0.06
197110,0.27,-0.81
197111,2.54,0.20
197112,6.32,2.81
197201,0.90,-3.54
197202,0.95,-3.06
197203,0.01,-3.83
197204,1.92,-0.11
197205,0.24,-0.74
197206,0.61,0.33
197207,0.04,-0.05
197208,0.23,0.12
197209,0.92,0.51
197210,0.90,-0.18
197211,4.74,2.40
197212,2.56,-0.95
197301,4.82,0.38
197302,7.29,3.28
197303,4.30,0.46
197304,0.46,-1.57
197305,0.49,-0.49
197306,0.10,-0.18
197307,0.01,-0.08
197308,0.17,0.06
197309,0.02,-0.39
197310,2.02,0.94
197311,4.78,2.44
197312,4.26,0.75
197401,4.58,0.14
197402,0.71,-3.30
197403,5.73,1.89
197404,2.66,0.63
197405,0.20,-0.78
197406,0.01,-0.27
197407,0.37,0.28
197408,0.04,-0.07
197409,0.00,-0.41
197410,1.89,0.81
197411,1.13,-1.21
197412,3.31,-0.20
197501,1.67,-2.77
197502,4.74,0.73
197503,5.83,1.99
197504,3.11,1.08
197505,0.30,-0.68
197506,0.09,-0.19
197507,0.03,-0.06
197508,0.36,0.25
197509,0.48,0.07
197510,3.15,2.07
197511,0.80,-1.54
197512,0.42,-3.09
197601,0.22,-4.22
197602,4.34,0.33
197603,1.68,-2.16
197604,1.57,-0.46
197605,0.19,-0.79
197606,0.08,-0.20
197607,0.32,0.23
197608,0.44,0.33
197609,1.65,1.24
197610,0.69,-0.39
197611,0.82,-1.52
197612,0.77,-2.74
197701,1.43,-3.01
197702,0.99,-3.02
197703,1.38,-2.46
197704,0.11,-1.92
197705,2.16,1.18
197706,0.93,0.65
197707,0.02,-0.07
197708,0.05,-0.06
197709,0.08,-0.33
197710,0.17,-0.91
197711,2.07,-0.27
197712,7.29,3.78
197801,7.50,3.06
197802,7.54,3.53
197803,7.52,3.68
197804,5.45,3.42
197805,0.08,-0.90
197806,0.15,-0.13
197807,0.05,-0.04
197808,0.06,-0.05
197809,2.01,1.60
197810,0.04,-1.04
197811,2.78,0.44
197812,2.22,-1.29
197901,6.48,2.04
197902,5.46,1.45
197903,5.07,1.23
197904,0.59,-1.44
197905,0.58,-0.40
197906,0.01,-0.27
197907,0.22,0.13
197908,0.03,-0.08
197909,0.03,-0.38
197910,1.42,0.34
197911,2.28,-0.06
197912,2.94,-0.57
198001,9.15,4.71
198002,7.76,3.75
198003,3.45,-0.39
198004,1.50,-0.53
198005,1.26,0.28
198006,0.08,-0.20
198007,0.12,0.03
198008,0.03,-0.08
198009,0.09,-0.32
198010,0.38,-0.70
198011,0.53,-1.81
198012,1.64,-1.87
198101,5.13,0.69
198102,1.61,-2.40
198103,5.02,1.18
198104,1.30,-0.73
198105,0.57,-0.41
198106,0.04,-0.24
198107,0.03,-0.06
198108,0.03,-0.08
198109,0.10,-0.31
198110,2.00,0.92
198111,4.66,2.32
198112,3.41,-0.10
198201,6.49,2.05
198202,3.17,-0.84
198203,8.33,4.49
198204,5.72,3.69
198205,0.25,-0.73
198206,1.15,0.87
198207,0.10,0.01
198208,0.33,0.22
198209,2.06,1.65
198210,3.05,1.97
198211,6.06,3.72
198212,5.66,2.15
198301,6.75,2.31
198302,6.44,2.43
198303,9.26,5.42
198304,3.24,1.21
198305,0.86,-0.12
198306,0.18,-0.10
198307,0.00,-0.09
198308,0.47,0.36
198309,1.05,0.64
198310,0.94,-0.14
198311,6.84,4.50
198312,6.79,3.28
198401,0.29,-4.15
198402,2.26,-1.75
198403,1.67,-2.17
198404,0.99,-1.04
198405,0.19,-0.79
198406,0.42,0.14
198407,0.32,0.23
198408,0.14,0.03
198409,0.11,-0.30
198410,1.60,0.52
198411,4.93,2.59
198412,2.14,-1.37
198501,0.86,-3.58
198502,1.85,-2.16
198503,4.18,0.34
198504,0.51,-1.52
198505,0.07,-0.91
198506,0.30,0.02
198507,0.15,0.06
198508,0.04,-0.07
198509,0.80,0.39
198510,1.30,0.22
198511,5.07,2.73
198512,2.43,-1.08
198601,2.88,-1.56
198602,12.10,8.09
198603,5.81,1.97
198604,0.93,-1.10
198605,0.39,-0.59
198606,0.00,-0.28
198607,0.11,0.02
198608,0.01,-0.10
198609,1.21,0.80
198610,0.08,-1.00
198611,0.07,-2.27
198612,0.83,-2.68
198701,2.69,-1.75
198702,3.53,-0.48
198703,3.78,-0.06
198704,0.60,-1.43
198705,0.70,-0.28
198706,0.14,-0.14
198707,0.02,-0.07
198708,0.00,-0.11
198709,0.10,-0.31
198710,2.14,1.06
198711,1.68,-0.66
198712,3.05,-0.46
198801,3.08,-1.36
198802,0.81,-3.20
198803,0.93,-2.91
198804,3.28,1.25
198805,0.87,-0.11
198806,0.21,-0.07
198807,0.22,0.13
198808,0.09,-0.02
198809,0.11,-0.30
198810,0.00,-1.08
198811,3.11,0.77
198812,3.67,0.16
198901,0.93,-3.51
198902,2.23,-1.78
198903,4.59,0.75
198904,0.63,-1.40
198905,1.36,0.38
198906,0.18,-0.10
198907,0.00,-0.09
198908,0.24,0.13
198909,1.88,1.47
198910,1.83,0.75
198911,1.44,-0.90
198912,0.03,-3.48
199001,3.95,-0.49
199002,2.85,-1.16
199003,1.41,-2.43
199004,1.48,-0.55
199005,2.21,1.23
199006,0.12,-0.16
199007,0.19,0.10
199008,0.11,0.00
199009,0.29,-0.12
199010,0.08,-1.00
199011,0.73,-1.61
199012,1.19,-2.32
199101,0.67,-3.77
199102,1.68,-2.33
199103,13.38,9.54
199104,0.50,-1.53
199105,0.69,-0.29
199106,0.24,-0.04
199107,0.04,-0.05
199108,0.04,-0.07
199109,0.15,-0.26
199110,2.24,1.16
199111,0.94,-1.40
199112,2.35,-1.16
199201,1.69,-2.75
199202,5.85,1.84
199203,3.19,-0.65
199204,0.27,-1.76
199205,0.19,-0.79
199206,0.22,-0.06
199207,0.47,0.38
199208,0.16,0.05
199209,0.04,-0.37
199210,2.47,1.39
199211,0.16,-2.18
199212,5.86,2.35
199301,10.09,5.65
199302,6.46,2.45
199303,3.68,-0.16
199304,0.69,-1.34
199305,0.79,-0.19
199306,1.09,0.81
199307,0.00,-0.09
199308,0.00,-0.11
199309,0.01,-0.40
199310,0.52,-0.56
199311,1.47,-0.87
199312,1.88,-1.63
199401,1.91,-2.53
199402,4.33,0.32
199403,0.82,-3.02
199404,2.24,0.21
199405,2.16,1.18
199406,0.01,-0.27
199407,0.02,-0.07
199408,0.00,-0.11
199409,0.75,0.34
199410,2.00,0.92
199411,4.19,1.85
199412,2.14,-1.37
