Ventura County, California, Precipitation
191905,1.14,0.73
191906,0.00,-0.05
191907,0.00,-0.02
191908,0.00,-0.05
191909,0.76,0.54
191910,0.39,-0.22
191911,0.71,-0.98
191912,2.61,-0.57
192001,0.56,-3.88
192002,3.78,-0.76
192003,7.51,3.75
192004,0.86,-0.57
192005,0.09,-0.32
192006,0.01,-0.04
192007,0.00,-0.02
192008,0.04,-0.01
192009,0.01,-0.21
192010,0.47,-0.14
192011,1.01,-0.68
192012,1.66,-1.52
192101,5.88,1.44
192102,1.54,-3.00
192103,1.88,-1.88
192104,0.64,-0.79
192105,2.19,1.78
192106,0.04,-0.01
192107,0.01,-0.01
192108,0.01,-0.04
192109,0.33,0.11
192110,0.72,0.11
192111,0.24,-1.45
192112,10.73,7.55
192201,5.65,1.21
192202,3.96,-0.58
192203,3.25,-0.51
192204,0.29,-1.14
192205,1.19,0.78
192206,0.01,-0.04
192207,0.05,0.03
192208,0.00,-0.05
192209,0.00,-0.22
192210,0.58,-0.03
192211,1.93,0.24
192212,5.59,2.41
192301,2.56,-1.88
192302,0.99,-3.55
192303,0.29,-3.47
192304,2.81,1.38
192305,0.01,-0.40
192306,0.04,-0.01
192307,0.00,-0.02
192308,0.12,0.07
192309,0.40,0.18
192310,0.89,0.28
192311,0.44,-1.25
192312,0.74,-2.44
192401,0.80,-3.64
192402,0.28,-4.26
192403,4.46,0.70
192404,1.58,0.15
192405,0.01,-0.40
192406,0.00,-0.05
192407,0.00,-0.02
192408,0.00,-0.05
192409,0.01,-0.21
192410,0.60,-0.01
192411,1.08,-0.61
192412,1.41,-1.77
192501,0.64,-3.80
192502,1.19,-3.35
192503,3.35,-0.41
192504,2.16,0.73
192505,1.33,0.92
192506,0.27,0.22
192507,0.03,0.01
192508,0.21,0.16
192509,0.00,-0.22
192510,1.20,0.59
192511,1.17,-0.52
192512,2.80,-0.38
192601,2.27,-2.17
192602,4.48,-0.06
192603,0.73,-3.03
192604,6.34,4.91
192605,0.31,-0.10
192606,0.00,-0.05
192607,0.00,-0.02
192608,0.00,-0.05
192609,0.00,-0.22
192610,0.26,-0.35
192611,4.97,3.28
192612,2.21,-0.97
192701,1.45,-2.99
192702,9.52,4.98
192703,2.73,-1.03
192704,1.11,-0.32
192705,0.14,-0.27
192706,0.03,-0.02
192707,0.00,-0.02
192708,0.02,-0.03
192709,0.02,-0.20
192710,2.23,1.62
192711,1.46,-0.23
192712,3.18,0.00
192801,0.19,-4.25
192802,3.38,-1.16
192803,2.32,-1.44
192804,0.52,-0.91
192805,0.96,0.55
192806,0.00,-0.05
192807,0.00,-0.02
192808,0.00,-0.05
192809,0.00,-0.22
192810,0.16,-0.45
192811,1.84,0.15
192812,3.33,0.15
192901,2.10,-2.34
192902,1.56,-2.98
192903,2.20,-1.56
192904,1.86,0.43
192905,0.06,-0.35
192906,0.16,0.11
192907,0.00,-0.02
192908,0.08,0.03
192909,0.30,0.08
192910,0.01,-0.60
192911,0.00,-1.69
192912,0.02,-3.16
193001,5.89,1.45
193002,1.20,-3.34
193003,4.46,0.70
193004,0.53,-0.90
193005,1.14,0.73
193006,0.05,0.00
193007,0.00,-0.02
193008,0.00,-0.05
193009,0.11,-0.11
193010,0.12,-0.49
193011,2.36,0.67
193012,0.00,-3.18
193101,5.27,0.83
193102,4.27,-0.27
193103,0.13,-3.63
193104,2.67,1.24
193105,1.37,0.96
193106,0.09,0.04
193107,0.01,-0.01
193108,0.22,0.17
193109,0.08,-0.14
193110,0.07,-0.54
193111,2.65,0.96
193112,9.32,6.14
193201,3.11,-1.33
193202,6.97,2.43
193203,0.12,-3.64
193204,0.59,-0.84
193205,0.22,-0.19
193206,0.07,0.02
193207,0.00,-0.02
193208,0.00,-0.05
193209,0.53,0.31
193210,0.09,-0.52
193211,0.07,-1.62
193212,1.29,-1.89
193301,9.93,5.49
193302,0.07,-4.47
193303,0.25,-3.51
193304,0.50,-0.93
193305,0.39,-0.02
193306,0.30,0.25
193307,0.00,-0.02
193308,0.12,0.07
193309,0.01,-0.21
193310,0.59,-0.02
193311,0.07,-1.62
193312,5.49,2.31
193401,2.86,-1.58
193402,3.31,-1.23
193403,0.19,-3.57
193404,0.00,-1.43
193405,0.09,-0.32
193406,0.28,0.23
193407,0.00,-0.02
193408,0.00,-0.05
193409,0.06,-0.16
193410,2.21,1.60
193411,3.34,1.65
193412,4.29,1.11
193501,4.92,0.48
193502,2.12,-2.42
193503,3.83,0.07
193504,3.04,1.61
193505,0.05,-0.36
193506,0.00,-0.05
193507,0.03,0.01
193508,0.33,0.28
193509,0.10,-0.12
193510,0.57,-0.04
193511,0.74,-0.95
193512,1.83,-1.35
193601,0.63,-3.81
193602,9.66,5.12
193603,2.02,-1.74
193604,0.61,-0.82
193605,0.13,-0.28
193606,0.09,0.04
193607,0.05,0.03
193608,0.22,0.17
193609,0.00,-0.22
193610,3.11,2.50
193611,0.07,-1.62
193612,7.65,4.47
193701,3.29,-1.15
193702,7.90,3.36
193703,6.01,2.25
193704,0.21,-1.22
193705,0.18,-0.23
193706,0.00,-0.05
193707,0.01,-0.01
193708,0.00,-0.05
193709,0.00,-0.22
193710,0.16,-0.45
193711,0.02,-1.67
193712,4.24,1.06
193801,3.08,-1.36
193802,9.06,4.52
193803,11.78,8.02
193804,1.60,0.17
193805,0.13,-0.28
193806,0.03,-0.02
193807,0.02,0.00
193808,0.10,0.05
193809,0.23,0.01
193810,0.17,-0.44
193811,0.07,-1.62
193812,7.52,4.34
193901,3.74,-0.70
193902,1.54,-3.00
193903,2.95,-0.81
193904,0.54,-0.89
193905,0.38,-0.03
193906,0.00,-0.05
193907,0.00,-0.02
193908,0.03,-0.02
193909,1.12,0.90
193910,0.25,-0.36
193911,0.21,-1.48
193912,1.15,-2.03
194001,5.00,0.56
194002,5.95,1.41
194003,1.79,-1.97
194004,1.54,0.11
194005,0.06,-0.35
194006,0.00,-0.05
194007,0.00,-0.02
194008,0.00,-0.05
194009,0.01,-0.21
194010,1.49,0.88
194011,0.45,-1.24
194012,10.15,6.97
194101,6.75,2.31
194102,10.40,5.86
194103,11.81,8.05
194104,5.33,3.90
194105,0.53,0.12
194106,0.02,-0.03
194107,0.01,-0.01
194108,0.05,0.00
194109,0.00,-0.22
194110,1.48,0.87
194111,0.48,-1.21
194112,7.15,3.97
194201,0.94,-3.50
194202,0.92,-3.62
194203,1.78,-1.98
194204,3.98,2.55
194205,0.10,-0.31
194206,0.00,-0.05
194207,0.00,-0.02
194208,0.19,0.14
194209,0.00,-0.22
194210,0.92,0.31
194211,0.31,-1.38
194212,1.44,-1.74
194301,14.06,9.62
194302,3.82,-0.72
194303,5.24,1.48
194304,1.56,0.13
194305,0.07,-0.34
194306,0.00,-0.05
194307,0.00,-0.02
194308,0.00,-0.05
194309,0.01,-0.21
194310,0.46,-0.15
194311,0.17,-1.52
194312,8.33,5.15
194401,1.73,-2.71
194402,10.47,5.93
194403,2.64,-1.12
194404,1.01,-0.42
194405,0.09,-0.32
194406,0.03,-0.02
194407,0.00,-0.02
194408,0.00,-0.05
194409,0.00,-0.22
194410,0.06,-0.55
194411,4.85,3.16
194412,1.11,-2.07
194501,0.67,-3.77
194502,5.23,0.69
194503,4.94,1.18
194504,0.19,-1.24
194505,0.17,-0.24
194506,0.03,-0.02
194507,0.02,0.00
194508,0.12,0.07
194509,0.11,-0.11
194510,1.23,0.62
194511,0.39,-1.30
194512,5.96,2.78
194601,0.52,-3.92
194602,1.72,-2.82
194603,6.18,2.42
194604,0.35,-1.08
194605,0.12,-0.29
194606,0.00,-0.05
194607,0.11,0.09
194608,0.00,-0.05
194609,0.11,-0.11
194610,0.69,0.08
194611,7.26,5.57
194612,4.34,1.16
194701,0.46,-3.98
194702,0.64,-3.90
194703,1.55,-2.21
194704,0.41,-1.02
194705,0.24,-0.17
194706,0.01,-0.04
194707,0.00,-0.02
194708,0.13,0.08
194709,0.04,-0.18
194710,0.19,-0.42
194711,0.04,-1.65
194712,1.61,-1.57
194801,0.01,-4.43
194802,1.63,-2.91
194803,3.98,0.22
194804,1.90,0.47
194805,0.22,-0.19
194806,0.13,0.08
194807,0.00,-0.02
194808,0.00,-0.05
194809,0.00,-0.22
194810,0.10,-0.51
194811,0.01,-1.68
194812,3.42,0.24
194901,2.26,-2.18
194902,1.62,-2.92
194903,2.27,-1.49
194904,0.11,-1.32
194905,1.12,0.71
194906,0.09,0.04
194907,0.02,0.00
194908,0.00,-0.05
194909,0.00,-0.22
194910,0.04,-0.57
194911,1.48,-0.21
194912,4.20,1.02
195001,3.32,-1.12
195002,2.47,-2.07
195003,1.46,-2.30
195004,0.96,-0.47
195005,0.08,-0.33
195006,0.03,-0.02
195007,0.10,0.08
195008,0.00,-0.05
195009,0.43,0.21
195010,0.59,-0.02
195011,1.16,-0.53
195012,0.37,-2.81
195101,3.31,-1.13
195102,1.44,-3.10
195103,0.73,-3.03
195104,2.38,0.95
195105,0.11,-0.30
195106,0.00,-0.05
195107,0.01,-0.01
195108,0.06,0.01
195109,0.00,-0.22
195110,0.73,0.12
195111,1.69,0.00
195112,6.03,2.85
195201,13.68,9.24
195202,0.75,-3.79
195203,9.28,5.52
195204,2.08,0.65
195205,0.00,-0.41
195206,0.01,-0.04
195207,0.04,0.02
195208,0.01,-0.04
195209,0.10,-0.12
195210,0.00,-0.61
195211,4.12,2.43
195212,5.45,2.27
195301,1.41,-3.03
195302,0.20,-4.34
195303,0.70,-3.06
195304,1.67,0.24
195305,0.18,-0.23
195306,0.05,0.00
195307,0.01,-0.01
195308,0.01,-0.04
195309,0.00,-0.22
195310,0.01,-0.60
195311,2.58,0.89
195312,0.21,-2.97
195401,6.16,1.72
195402,3.77,-0.77
195403,4.71,0.95
195404,0.37,-1.06
195405,0.05,-0.36
195406,0.01,-0.04
195407,0.00,-0.02
195408,0.00,-0.05
195409,0.00,-0.22
195410,0.00,-0.61
195411,1.71,0.02
195412,1.74,-1.44
195501,6.13,1.69
195502,1.99,-2.55
195503,0.46,-3.30
195504,3.04,1.61
195505,1.60,1.19
195506,0.00,-0.05
195507,0.00,-0.02
195508,0.04,-0.01
195509,0.00,-0.22
195510,0.00,-0.61
195511,1.39,-0.30
195512,4.03,0.85
195601,7.60,3.16
195602,0.98,-3.56
195603,0.01,-3.75
195604,3.62,2.19
195605,1.29,0.88
195606,0.00,-0.05
195607,0.00,-0.02
195608,0.00,-0.05
195609,0.00,-0.22
195610,0.36,-0.25
195611,0.00,-1.69
195612,0.31,-2.87
195701,6.33,1.89
195702,2.88,-1.66
195703,2.15,-1.61
195704,1.66,0.23
195705,1.04,0.63
195706,0.18,0.13
195707,0.01,-0.01
195708,0.00,-0.05
195709,0.07,-0.15
195710,1.77,1.16
195711,0.67,-1.02
195712,5.87,2.69
195801,2.80,-1.64
195802,9.29,4.75
195803,7.94,4.18
195804,6.04,4.61
195805,0.40,-0.01
195806,0.00,-0.05
195807,0.00,-0.02
195808,0.02,-0.03
195809,0.65,0.43
195810,0.14,-0.47
195811,0.37,-1.32
195812,0.04,-3.14
195901,3.06,-1.38
195902,5.29,0.75
195903,0.04,-3.72
195904,0.89,-0.54
195905,0.04,-0.37
195906,0.00,-0.05
195907,0.00,-0.02
195908,0.01,-0.04
195909,0.15,-0.07
195910,0.06,-0.55
195911,0.00,-1.69
195912,1.67,-1.51
196001,4.27,-0.17
196002,3.31,-1.23
196003,0.62,-3.14
196004,2.21,0.78
196005,0.01,-0.40
196006,0.00,-0.05
196007,0.04,0.02
196008,0.00,-0.05
196009,0.00,-0.22
196010,0.08,-0.53
196011,5.57,3.88
196012,0.41,-2.77
196101,1.73,-2.71
196102,0.16,-4.38
196103,0.89,-2.87
196104,0.27,-1.16
196105,0.08,-0.33
196106,0.00,-0.05
196107,0.01,-0.01
196108,0.19,0.14
196109,0.05,-0.17
196110,0.01,-0.60
196111,3.71,2.02
196112,1.87,-1.31
196201,3.32,-1.12
196202,17.85,13.31
196203,1.99,-1.77
196204,0.01,-1.42
196205,0.28,-0.13
196206,0.01,-0.04
196207,0.00,-0.02
196208,0.00,-0.05
196209,0.00,-0.22
196210,0.36,-0.25
196211,0.01,-1.68
196212,0.05,-3.13
196301,1.02,-3.42
196302,4.81,0.27
196303,3.37,-0.39
196304,2.54,1.11
196305,0.29,-0.12
196306,0.35,0.30
196307,0.00,-0.02
196308,0.10,0.05
196309,1.09,0.87
196310,1.08,0.47
196311,3.64,1.95
196312,0.09,-3.09
196401,2.58,-1.86
196402,0.11,-4.43
196403,2.66,-1.10
196404,1.40,-0.03
196405,0.40,-0.01
196406,0.12,0.07
196407,0.00,-0.02
196408,0.07,0.02
196409,0.02,-0.20
196410,1.04,0.43
196411,2.16,0.47
196412,4.47,1.29
196501,0.87,-3.57
196502,0.46,-4.08
196503,1.85,-1.91
196504,5.97,4.54
196505,0.05,-0.36
196506,0.01,-0.04
196507,0.10,0.08
196508,0.15,0.10
196509,0.42,0.20
196510,0.01,-0.60
196511,8.17,6.48
196512,6.40,3.22
196601,1.79,-2.65
196602,1.61,-2.93
196603,0.12,-3.64
196604,0.00,-1.43
196605,0.18,-0.23
196606,0.00,-0.05
196607,0.02,0.00
196608,0.01,-0.04
196609,0.16,-0.06
196610,0.09,-0.52
196611,5.31,3.62
196612,6.79,3.61
196701,5.22,0.78
196702,0.36,-4.18
196703,3.48,-0.28
196704,5.94,4.51
196705,0.13,-0.28
196706,0.02,-0.03
196707,0.01,-0.01
196708,0.01,-0.04
196709,0.55,0.33
196710,0.00,-0.61
196711,6.96,5.27
196712,1.51,-1.67
196801,1.31,-3.13
196802,1.27,-3.27
196803,3.60,-0.16
196804,0.96,-0.47
196805,0.05,-0.36
196806,0.00,-0.05
196807,0.02,0.00
196808,0.10,0.05
196809,0.00,-0.22
196810,1.17,0.56
196811,0.77,-0.92
196812,1.87,-1.31
196901,18.31,13.87
196902,12.17,7.63
196903,0.96,-2.80
196904,1.73,0.30
196905,0.08,-0.33
196906,0.03,-0.02
196907,0.21,0.19
196908,0.00,-0.05
196909,0.01,-0.21
196910,0.03,-0.58
196911,2.24,0.55
196912,0.28,-2.90
197001,2.60,-1.84
197002,3.96,-0.58
197003,4.40,0.64
197004,0.15,-1.28
197005,0.00,-0.41
197006,0.01,-0.04
197007,0.00,-0.02
197008,0.00,-0.05
197009,0.00,-0.22
197010,0.02,-0.59
197011,7.51,5.82
197012,6.21,3.03
197101,1.07,-3.37
197102,1.13,-3.41
197103,0.75,-3.01
197104,0.95,-0.48
197105,0.78,0.37
197106,0.00,-0.05
197107,0.00,-0.02
197108,0.01,-0.04
197109,0.10,-0.12
197110,0.25,-0.36
197111,0.59,-1.10
197112,9.50,6.32
197201,0.11,-4.33
197202,0.25,-4.29
197203,0.00,-3.76
197204,0.15,-1.28
197205,0.13,-0.28
197206,0.10,0.05
197207,0.00,-0.02
197208,0.09,0.04
197209,0.03,-0.19
197210,0.39,-0.22
197211,4.90,3.21
197212,1.26,-1.92
197301,5.98,1.54
197302,10.88,6.34
197303,3.81,0.05
197304,0.04,-1.39
197305,0.06,-0.35
197306,0.01,-0.04
197307,0.00,-0.02
197308,0.00,-0.05
197309,0.00,-0.22
197310,0.40,-0.21
197311,2.25,0.56
197312,1.67,-1.51
197401,9.45,5.01
197402,0.13,-4.41
197403,3.92,0.16
197404,0.37,-1.06
197405,0.06,-0.35
197406,0.01,-0.04
197407,0.05,0.03
197408,0.02,-0.03
197409,0.00,-0.22
197410,1.14,0.53
197411,0.32,-1.37
197412,6.03,2.85
197501,0.15,-4.29
197502,3.87,-0.67
197503,6.10,2.34
197504,2.06,0.63
197505,0.03,-0.38
197506,0.00,-0.05
197507,0.00,-0.02
197508,0.04,-0.01
197509,0.07,-0.15
197510,0.46,-0.15
197511,0.14,-1.55
197512,0.31,-2.87
197601,0.02,-4.42
197602,6.18,1.64
197603,1.56,-2.20
197604,1.16,-0.27
197605,0.14,-0.27
197606,0.19,0.14
197607,0.04,0.02
197608,0.09,0.04
197609,1.17,0.95
197610,0.34,-0.27
197611,0.50,-1.19
197612,0.66,-2.52
197701,4.91,0.47
197702,0.25,-4.29
197703,2.37,-1.39
197704,0.01,-1.42
197705,2.23,1.82
197706,0.03,-0.02
197707,0.00,-0.02
197708,0.36,0.31
197709,0.02,-0.20
197710,0.01,-0.60
197711,0.19,-1.50
197712,6.17,2.99
197801,8.75,4.31
197802,12.34,7.80
197803,13.64,9.88
197804,2.71,1.28
197805,0.09,-0.32
197806,0.00,-0.05
197807,0.00,-0.02
197808,0.05,0.00
197809,1.10,0.88
197810,0.12,-0.49
197811,2.69,1.00
197812,2.45,-0.73
197901,7.67,3.23
197902,4.73,0.19
197903,6.98,3.22
197904,0.04,-1.39
197905,0.04,-0.37
197906,0.01,-0.04
197907,0.00,-0.02
197908,0.00,-0.05
197909,0.28,0.06
197910,0.57,-0.04
197911,0.77,-0.92
197912,1.62,-1.56
198001,8.39,3.95
198002,13.14,8.60
198003,4.53,0.77
198004,1.01,-0.42
198005,0.48,0.07
198006,0.00,-0.05
198007,0.04,0.02
198008,0.00,-0.05
198009,0.00,-0.22
198010,0.08,-0.53
198011,0.00,-1.69
198012,1.33,-1.85
198101,3.53,-0.91
198102,2.26,-2.28
198103,6.51,2.75
198104,0.78,-0.65
198105,0.11,-0.30
198106,0.00,-0.05
198107,0.00,-0.02
198108,0.00,-0.05
198109,0.02,-0.20
198110,0.68,0.07
198111,2.33,0.64
198112,0.61,-2.57
198201,3.58,-0.86
198202,0.90,-3.64
198203,6.75,2.99
198204,2.55,1.12
198205,0.08,-0.33
198206,0.03,-0.02
198207,0.01,-0.01
198208,0.04,-0.01
198209,0.99,0.77
198210,0.61,0.00
198211,5.40,3.71
198212,2.85,-0.33
198301,9.16,4.72
198302,7.13,2.59
198303,10.20,6.44
198304,4.24,2.81
198305,0.21,-0.20
198306,0.00,-0.05
198307,0.00,-0.02
198308,0.36,0.31
198309,0.82,0.60
198310,2.48,1.87
198311,3.93,2.24
198312,4.23,1.05
198401,0.16,-4.28
198402,0.17,-4.37
198403,0.43,-3.33
198404,0.52,-0.91
198405,0.00,-0.41
198406,0.03,-0.02
198407,0.07,0.05
198408,0.12,0.07
198409,0.50,0.28
198410,0.26,-0.35
198411,3.03,1.34
198412,5.80,2.62
198501,1.46,-2.98
198502,1.46,-3.08
198503,1.40,-2.36
198504,0.06,-1.37
198505,0.04,-0.37
198506,0.03,-0.02
198507,0.02,0.00
198508,0.00,-0.05
198509,0.16,-0.06
198510,0.45,-0.16
198511,4.55,2.86
198512,1.10,-2.08
198601,3.70,-0.74
198602,7.81,3.27
198603,5.49,1.73
198604,1.58,0.15
198605,0.06,-0.35
198606,0.00,-0.05
198607,0.05,0.03
198608,0.00,-0.05
198609,0.74,0.52
198610,0.09,-0.52
198611,1.57,-0.12
198612,0.58,-2.60
198701,2.21,-2.23
198702,1.60,-2.94
198703,2.49,-1.27
198704,0.13,-1.30
198705,0.13,-0.28
198706,0.05,0.00
198707,0.09,0.07
198708,0.03,-0.02
198709,0.03,-0.19
198710,2.54,1.93
198711,2.44,0.75
198712,4.25,1.07
198801,3.26,-1.18
198802,2.96,-1.58
198803,0.80,-2.96
198804,3.54,2.11
198805,0.08,-0.33
198806,0.09,0.04
198807,0.01,-0.01
198808,0.01,-0.04
198809,0.08,-0.14
198810,0.00,-0.61
198811,1.21,-0.48
198812,4.75,1.57
198901,0.81,-3.63
198902,3.59,-0.95
198903,0.90,-2.86
198904,0.20,-1.23
198905,0.23,-0.18
198906,0.00,-0.05
198907,0.00,-0.02
198908,0.00,-0.05
198909,0.38,0.16
198910,0.51,-0.10
198911,0.38,-1.31
198912,0.02,-3.16
199001,2.93,-1.51
199002,2.64,-1.90
199003,0.19,-3.57
199004,0.27,-1.16
199005,0.88,0.47
199006,0.01,-0.04
199007,0.00,-0.02
199008,0.05,0.00
199009,0.08,-0.14
199010,0.00,-0.61
199011,0.59,-1.10
199012,0.08,-3.10
199101,1.56,-2.88
199102,3.76,-0.78
199103,13.19,9.43
199104,0.03,-1.40
199105,0.02,-0.39
199106,0.09,0.04
199107,0.04,0.02
199108,0.02,-0.03
199109,0.02,-0.20
199110,0.43,-0.18
199111,0.11,-1.58
199112,5.15,1.97
199201,2.96,-1.48
199202,12.28,7.74
199203,6.73,2.97
199204,0.16,-1.27
199205,0.17,-0.24
199206,0.00,-0.05
199207,0.25,0.23
199208,0.00,-0.05
199209,0.00,-0.22
199210,1.41,0.80
199211,0.03,-1.66
199212,6.39,3.21
199301,14.77,10.33
199302,10.68,6.14
199303,4.74,0.98
199304,0.02,-1.41
199305,0.13,-0.28
199306,0.42,0.37
199307,0.01,-0.01
199308,0.00,-0.05
199309,0.00,-0.22
199310,0.29,-0.32
199311,1.16,-0.53
199312,1.76,-1.42
199401,0.93,-3.51
199402,6.64,2.10
199403,2.51,-1.25
199404,0.74,-0.69
199405,0.86,0.45
199406,0.01,-0.04
199407,0.00,-0.02
