Riverside County, California, Precipitation
191906,0.00,-0.03
191907,0.65,0.39
191908,0.31,-0.16
191909,1.05,0.71
191910,0.57,0.16
191911,1.00,0.36
191912,0.53,-0.70
192001,1.61,0.07
192002,3.28,1.71
192003,2.29,0.98
192004,0.25,-0.28
192005,0.31,0.15
192006,0.01,-0.02
192007,0.18,-0.08
192008,0.23,-0.24
192009,0.25,-0.09
192010,0.86,0.45
192011,0.17,-0.47
192012,0.46,-0.77
192101,1.96,0.42
192102,0.47,-1.10
192103,1.40,0.09
192104,0.11,-0.42
192105,0.74,0.58
192106,0.02,-0.01
192107,0.60,0.34
192108,1.09,0.62
192109,1.18,0.84
192110,1.14,0.73
192111,0.11,-0.53
192112,5.65,4.42
192201,2.43,0.89
192202,1.76,0.19
192203,1.14,-0.17
192204,0.55,0.02
192205,0.55,0.39
192206,0.02,-0.01
192207,0.67,0.41
192208,0.51,0.04
192209,0.27,-0.07
192210,0.23,-0.18
192211,0.87,0.23
192212,1.37,0.14
192301,1.08,-0.46
192302,0.84,-0.73
192303,0.37,-0.94
192304,1.02,0.49
192305,0.03,-0.13
192306,0.00,-0.03
192307,0.18,-0.08
192308,0.26,-0.21
192309,0.61,0.27
192310,0.16,-0.25
192311,0.81,0.17
192312,1.62,0.39
192401,0.21,-1.33
192402,0.01,-1.56
192403,1.61,0.30
192404,1.12,0.59
192405,0.02,-0.14
192406,0.00,-0.03
192407,0.02,-0.24
192408,0.04,-0.43
192409,0.06,-0.28
192410,0.16,-0.25
192411,0.28,-0.36
192412,1.23,0.00
192501,0.09,-1.45
192502,0.22,-1.35
192503,1.08,-0.23
192504,0.75,0.22
192505,0.16,0.00
192506,0.15,0.12
192507,0.14,-0.12
192508,0.27,-0.20
192509,0.03,-0.31
192510,1.95,1.54
192511,0.57,-0.07
192512,0.74,-0.49
192601,0.63,-0.91
192602,1.33,-0.24
192603,0.38,-0.93
192604,2.25,1.72
192605,0.06,-0.10
192606,0.01,-0.02
192607,0.07,-0.19
192608,0.28,-0.19
192609,0.43,0.09
192610,0.02,-0.39
192611,0.93,0.29
192612,3.91,2.68
192701,0.38,-1.16
192702,6.25,4.68
192703,1.32,0.01
192704,0.30,-0.23
192705,0.12,-0.04
192706,0.04,0.01
192707,0.55,0.29
192708,0.13,-0.34
192709,0.02,-0.32
192710,1.33,0.92
192711,0.51,-0.13
192712,3.22,1.99
192801,0.22,-1.32
192802,1.13,-0.44
192803,0.61,-0.70
192804,0.04,-0.49
192805,0.28,0.12
192806,0.00,-0.03
192807,0.00,-0.26
192808,0.02,-0.45
192809,0.00,-0.34
192810,0.32,-0.09
192811,0.47,-0.17
192812,0.96,-0.27
192901,0.74,-0.80
192902,0.54,-1.03
192903,0.65,-0.66
192904,0.95,0.42
192905,0.00,-0.16
192906,0.01,-0.02
192907,0.03,-0.23
192908,0.87,0.40
192909,1.22,0.88
192910,0.05,-0.36
192911,0.00,-0.64
192912,0.00,-1.23
193001,3.47,1.93
193002,0.42,-1.15
193003,2.39,1.08
193004,0.35,-0.18
193005,0.73,0.57
193006,0.00,-0.03
193007,0.12,-0.14
193008,0.31,-0.16
193009,0.02,-0.32
193010,0.24,-0.17
193011,0.71,0.07
193012,0.00,-1.23
193101,1.02,-0.52
193102,3.86,2.29
193103,0.10,-1.21
193104,1.44,0.91
193105,0.18,0.02
193106,0.09,0.06
193107,0.10,-0.16
193108,1.39,0.92
193109,0.73,0.39
193110,0.47,0.06
193111,1.51,0.87
193112,1.97,0.74
193201,0.63,-0.91
193202,5.12,3.55
193203,0.08,-1.23
193204,0.42,-0.11
193205,0.12,-0.04
193206,0.16,0.13
193207,0.05,-0.21
193208,0.02,-0.45
193209,0.36,0.02
193210,1.40,0.99
193211,0.00,-0.64
193212,1.89,0.66
193301,2.51,0.97
193302,0.04,-1.53
193303,0.02,-1.29
193304,0.78,0.25
193305,0.35,0.19
193306,0.01,-0.02
193307,0.14,-0.12
193308,0.13,-0.34
193309,0.01,-0.33
193310,0.13,-0.28
193311,0.09,-0.55
193312,1.25,0.02
193401,0.58,-0.96
193402,0.72,-0.85
193403,0.15,-1.16
193404,0.03,-0.50
193405,0.00,-0.16
193406,0.11,0.08
193407,0.16,-0.10
193408,0.74,0.27
193409,0.10,-0.24
193410,0.61,0.20
193411,0.66,0.02
193412,1.86,0.63
193501,1.92,0.38
193502,2.73,1.16
193503,1.09,-0.22
193504,0.71,0.18
193505,0.28,0.12
193506,0.00,-0.03
193507,0.20,-0.06
193508,0.90,0.43
193509,0.20,-0.14
193510,0.06,-0.35
193511,0.35,-0.29
193512,0.61,-0.62
193601,0.20,-1.34
193602,3.07,1.50
193603,0.82,-0.49
193604,0.43,-0.10
193605,0.01,-0.15
193606,0.01,-0.02
193607,0.99,0.73
193608,0.26,-0.21
193609,0.08,-0.26
193610,1.48,1.07
193611,0.83,0.19
193612,3.60,2.37
193701,1.41,-0.13
193702,2.82,1.25
193703,2.30,0.99
193704,0.13,-0.40
193705,0.12,-0.04
193706,0.03,0.00
193707,0.50,0.24
193708,0.04,-0.43
193709,0.22,-0.12
193710,0.00,-0.41
193711,0.01,-0.63
193712,0.92,-0.31
193801,0.72,-0.82
193802,2.45,0.88
193803,4.20,2.89
193804,0.34,-0.19
193805,0.12,-0.04
193806,0.01,-0.02
193807,0.16,-0.10
193808,0.19,-0.28
193809,0.15,-0.19
193810,0.11,-0.30
193811,0.00,-0.64
193812,3.49,2.26
193901,2.00,0.46
193902,1.11,-0.46
193903,0.72,-0.59
193904,0.71,0.18
193905,0.03,-0.13
193906,0.00,-0.03
193907,0.13,-0.13
193908,0.20,-0.27
193909,1.89,1.55
193910,0.08,-0.33
193911,1.16,0.52
193912,0.23,-1.00
194001,1.81,0.27
194002,1.99,0.42
194003,0.32,-0.99
194004,0.92,0.39
194005,0.08,-0.08
194006,0.00,-0.03
194007,0.01,-0.25
194008,0.04,-0.43
194009,0.39,0.05
194010,0.45,0.04
194011,0.27,-0.37
194012,4.71,3.48
194101,1.53,-0.01
194102,2.80,1.23
194103,4.35,3.04
194104,1.90,1.37
194105,0.14,-0.02
194106,0.02,-0.01
194107,0.30,0.04
194108,1.29,0.82
194109,0.15,-0.19
194110,1.59,1.18
194111,1.16,0.52
194112,2.05,0.82
194201,0.33,-1.21
194202,0.64,-0.93
194203,0.86,-0.45
194204,0.95,0.42
194205,0.00,-0.16
194206,0.00,-0.03
194207,0.04,-0.22
194208,0.59,0.12
194209,0.00,-0.34
194210,0.19,-0.22
194211,0.09,-0.55
194212,0.44,-0.79
194301,4.50,2.96
194302,1.19,-0.38
194303,2.02,0.71
194304,0.61,0.08
194305,0.00,-0.16
194306,0.02,-0.01
194307,0.01,-0.25
194308,0.32,-0.15
194309,0.51,0.17
194310,0.54,0.13
194311,0.01,-0.63
194312,3.73,2.50
194401,0.36,-1.18
194402,3.56,1.99
194403,0.93,-0.38
194404,0.64,0.11
194405,0.03,-0.13
194406,0.03,0.00
194407,0.00,-0.26
194408,0.00,-0.47
194409,0.01,-0.33
194410,0.12,-0.29
194411,2.85,2.21
194412,0.55,-0.68
194501,0.44,-1.10
194502,1.42,-0.15
194503,1.95,0.64
194504,0.20,-0.33
194505,0.01,-0.15
194506,0.01,-0.02
194507,0.17,-0.09
194508,1.75,1.28
194509,0.41,0.07
194510,0.64,0.23
194511,0.07,-0.57
194512,2.72,1.49
194601,0.18,-1.36
194602,0.28,-1.29
194603,0.97,-0.34
194604,0.21,-0.32
194605,0.03,-0.13
194606,0.00,-0.03
194607,0.77,0.51
194608,0.16,-0.31
194609,0.41,0.07
194610,0.51,0.10
194611,1.91,1.27
194612,1.08,-0.15
194701,0.19,-1.35
194702,0.20,-1.37
194703,0.53,-0.78
194704,0.24,-0.29
194705,0.15,-0.01
194706,0.00,-0.03
194707,0.00,-0.26
194708,0.91,0.44
194709,0.07,-0.27
194710,0.17,-0.24
194711,0.08,-0.56
194712,1.39,0.16
194801,0.02,-1.52
194802,1.00,-0.57
194803,0.68,-0.63
194804,0.30,-0.23
194805,0.01,-0.15
194806,0.08,0.05
194807,0.49,0.23
194808,0.04,-0.43
194809,0.10,-0.24
194810,1.40,0.99
194811,0.00,-0.64
194812,1.01,-0.22
194901,3.61,2.07
194902,0.59,-0.98
194903,0.45,-0.86
194904,0.08,-0.45
194905,0.18,0.02
194906,0.00,-0.03
194907,0.01,-0.25
194908,0.08,-0.39
194909,0.01,-0.33
194910,0.19,-0.22
194911,0.56,-0.08
194912,0.87,-0.36
195001,0.84,-0.70
195002,0.68,-0.89
195003,0.49,-0.82
195004,0.26,-0.27
195005,0.07,-0.09
195006,0.00,-0.03
195007,0.54,0.28
195008,0.03,-0.44
195009,0.27,-0.07
195010,0.01,-0.40
195011,0.47,-0.17
195012,0.01,-1.22
195101,1.02,-0.52
195102,0.38,-1.19
195103,0.30,-1.01
195104,1.07,0.54
195105,0.26,0.10
195106,0.00,-0.03
195107,0.47,0.21
195108,1.45,0.98
195109,0.18,-0.16
195110,0.55,0.14
195111,0.57,-0.07
195112,2.60,1.37
195201,3.24,1.70
195202,0.16,-1.41
195203,2.42,1.11
195204,1.04,0.51
195205,0.00,-0.16
195206,0.03,0.00
195207,0.26,0.00
195208,0.04,-0.43
195209,0.50,0.16
195210,0.00,-0.41
195211,2.04,1.40
195212,2.18,0.95
195301,0.37,-1.17
195302,0.36,-1.21
195303,0.54,-0.77
195304,0.43,-0.10
195305,0.06,-0.10
195306,0.00,-0.03
195307,0.05,-0.21
195308,0.44,-0.03
195309,0.00,-0.34
195310,0.04,-0.37
195311,0.33,-0.31
195312,0.10,-1.13
195401,2.54,1.00
195402,0.84,-0.73
195403,2.34,1.03
195404,0.04,-0.49
195405,0.01,-0.15
195406,0.02,-0.01
195407,0.37,0.11
195408,0.08,-0.39
195409,0.42,0.08
195410,0.05,-0.36
195411,0.65,0.01
195412,0.33,-0.90
195501,2.86,1.32
195502,0.55,-1.02
195503,0.08,-1.23
195504,0.22,-0.31
195505,0.33,0.17
195506,0.01,-0.02
195507,0.43,0.17
195508,1.03,0.56
195509,0.00,-0.34
195510,0.00,-0.41
195511,0.36,-0.28
195512,0.37,-0.86
195601,1.62,0.08
195602,0.21,-1.36
195603,0.00,-1.31
195604,0.78,0.25
195605,0.12,-0.04
195606,0.00,-0.03
195607,0.28,0.02
195608,0.00,-0.47
195609,0.01,-0.33
195610,0.09,-0.32
195611,0.00,-0.64
195612,0.13,-1.10
195701,3.18,1.64
195702,0.34,-1.23
195703,0.48,-0.83
195704,0.39,-0.14
195705,0.42,0.26
195706,0.06,0.03
195707,0.12,-0.14
195708,0.57,0.10
195709,0.01,-0.33
195710,1.66,1.25
195711,0.36,-0.28
195712,0.96,-0.27
195801,0.50,-1.04
195802,3.01,1.44
195803,2.63,1.32
195804,1.98,1.45
195805,0.22,0.06
195806,0.02,-0.01
195807,0.26,0.00
195808,0.47,0.00
195809,0.21,-0.13
195810,0.25,-0.16
195811,0.13,-0.51
195812,0.00,-1.23
195901,0.43,-1.11
195902,1.78,0.21
195903,0.00,-1.31
195904,0.13,-0.40
195905,0.02,-0.14
195906,0.01,-0.02
195907,0.14,-0.12
195908,0.55,0.08
195909,0.21,-0.13
195910,0.41,0.00
195911,0.47,-0.17
195912,2.64,1.41
196001,1.40,-0.14
196002,1.30,-0.27
196003,0.27,-1.04
196004,0.41,-0.12
196005,0.05,-0.11
196006,0.00,-0.03
196007,0.13,-0.13
196008,0.07,-0.40
196009,0.75,0.41
196010,0.16,-0.25
196011,1.22,0.58
196012,0.12,-1.11
196101,0.51,-1.03
196102,0.04,-1.53
196103,0.45,-0.86
196104,0.02,-0.51
196105,0.03,-0.13
196106,0.00,-0.03
196107,0.06,-0.20
196108,0.90,0.43
196109,0.03,-0.31
196110,0.04,-0.37
196111,0.49,-0.15
196112,1.14,-0.09
196201,1.30,-0.24
196202,1.94,0.37
196203,0.66,-0.65
196204,0.00,-0.53
196205,0.23,0.07
196206,0.04,0.01
196207,0.01,-0.25
196208,0.05,-0.42
196209,0.05,-0.29
196210,0.24,-0.17
196211,0.01,-0.63
196212,0.58,-0.65
196301,0.33,-1.21
196302,1.49,-0.08
196303,0.77,-0.54
196304,0.65,0.12
196305,0.00,-0.16
196306,0.03,0.00
196307,0.00,-0.26
196308,0.65,0.18
196309,1.61,1.27
196310,1.08,0.67
196311,1.21,0.57
196312,0.04,-1.19
196401,0.71,-0.83
196402,0.29,-1.28
196403,1.08,-0.23
196404,0.47,-0.06
196405,0.18,0.02
196406,0.04,0.01
196407,0.06,-0.20
196408,0.08,-0.39
196409,0.13,-0.21
196410,0.13,-0.28
196411,1.26,0.62
196412,0.55,-0.68
196501,0.20,-1.34
196502,0.23,-1.34
196503,1.00,-0.31
196504,2.14,1.61
196505,0.03,-0.13
196506,0.02,-0.01
196507,0.25,-0.01
196508,0.28,-0.19
196509,0.24,-0.10
196510,0.00,-0.41
196511,3.06,2.42
196512,3.19,1.96
196601,0.65,-0.89
196602,0.63,-0.94
196603,0.56,-0.75
196604,0.02,-0.51
196605,0.02,-0.14
196606,0.01,-0.02
196607,0.26,0.00
196608,0.18,-0.29
196609,0.15,-0.19
196610,0.89,0.48
196611,0.66,0.02
196612,2.90,1.67
196701,1.21,-0.33
196702,0.00,-1.57
196703,0.58,-0.73
196704,1.29,0.76
196705,0.07,-0.09
196706,0.03,0.00
196707,0.15,-0.11
196708,1.00,0.53
196709,1.08,0.74
196710,0.00,-0.41
196711,1.43,0.79
196712,1.53,0.30
196801,0.27,-1.27
196802,0.28,-1.29
196803,1.17,-0.14
196804,0.49,-0.04
196805,0.09,-0.07
196806,0.01,-0.02
196807,1.05,0.79
196808,0.06,-0.41
196809,0.00,-0.34
196810,0.22,-0.19
196811,0.21,-0.43
196812,0.62,-0.61
196901,4.41,2.87
196902,3.41,1.84
196903,0.49,-0.82
196904,0.19,-0.34
196905,0.41,0.25
196906,0.02,-0.01
196907,0.53,0.27
196908,0.08,-0.39
196909,0.46,0.12
196910,0.06,-0.35
196911,1.12,0.48
196912,0.10,-1.13
197001,0.52,-1.02
197002,1.07,-0.50
197003,2.03,0.72
197004,0.15,-0.38
197005,0.00,-0.16
197006,0.01,-0.02
197007,0.22,-0.04
197008,0.79,0.32
197009,0.02,-0.32
197010,0.06,-0.35
197011,1.14,0.50
197012,1.61,0.38
197101,0.35,-1.19
197102,0.29,-1.28
197103,0.12,-1.19
197104,0.32,-0.21
197105,0.37,0.21
197106,0.01,-0.02
197107,0.06,-0.20
197108,0.67,0.20
197109,0.20,-0.14
197110,0.41,0.00
197111,0.06,-0.58
197112,2.01,0.78
197201,0.00,-1.54
197202,0.07,-1.50
197203,0.00,-1.31
197204,0.07,-0.46
197205,0.05,-0.11
197206,0.17,0.14
197207,0.05,-0.21
197208,0.22,-0.25
197209,0.09,-0.25
197210,1.03,0.62
197211,1.41,0.77
197212,0.71,-0.52
197301,0.97,-0.57
197302,2.01,0.44
197303,2.21,0.90
197304,0.03,-0.50
197305,0.02,-0.14
197306,0.01,-0.02
197307,0.00,-0.26
197308,0.23,-0.24
197309,0.00,-0.34
197310,0.01,-0.40
197311,0.72,0.08
197312,0.07,-1.16
197401,3.65,2.11
197402,0.04,-1.53
197403,1.26,-0.05
197404,0.14,-0.39
197405,0.02,-0.14
197406,0.00,-0.03
197407,0.13,-0.13
197408,0.12,-0.35
197409,0.02,-0.32
197410,0.83,0.42
197411,0.07,-0.57
197412,1.43,0.20
197501,0.09,-1.45
197502,0.63,-0.94
197503,1.38,0.07
197504,1.44,0.91
197505,0.03,-0.13
197506,0.01,-0.02
197507,0.19,-0.07
197508,0.00,-0.47
197509,0.39,0.05
197510,0.14,-0.27
197511,0.44,-0.20
197512,0.18,-1.05
197601,0.01,-1.53
197602,3.57,2.00
197603,0.74,-0.57
197604,0.79,0.26
197605,0.30,0.14
197606,0.03,0.00
197607,0.22,-0.04
197608,0.00,-0.47
197609,1.88,1.54
197610,0.52,0.11
197611,0.39,-0.25
197612,0.40,-0.83
197701,1.49,-0.05
197702,0.26,-1.31
197703,0.61,-0.70
197704,0.04,-0.49
197705,0.58,0.42
197706,0.04,0.01
197707,0.05,-0.21
197708,1.75,1.28
197709,0.21,-0.13
197710,0.08,-0.33
197711,0.04,-0.60
197712,1.91,0.68
197801,5.39,3.85
197802,2.78,1.21
197803,3.74,2.43
197804,0.90,0.37
197805,0.05,-0.11
197806,0.00,-0.03
197807,0.07,-0.19
197808,0.29,-0.18
197809,0.40,0.06
197810,0.77,0.36
197811,1.87,1.23
197812,1.89,0.66
197901,3.55,2.01
197902,1.56,-0.01
197903,2.43,1.12
197904,0.00,-0.53
197905,0.16,0.00
197906,0.01,-0.02
197907,1.07,0.81
197908,1.33,0.86
197909,0.07,-0.27
197910,0.39,-0.02
197911,0.08,-0.56
197912,0.32,-0.91
198001,4.29,2.75
198002,6.56,4.99
198003,2.12,0.81
198004,0.57,0.04
198005,0.25,0.09
198006,0.02,-0.01
198007,0.12,-0.14
198008,0.15,-0.32
198009,0.08,-0.26
198010,0.04,-0.37
198011,0.00,-0.64
198012,0.20,-1.03
198101,1.15,-0.39
198102,0.87,-0.70
198103,2.26,0.95
198104,0.14,-0.39
198105,0.37,0.21
198106,0.01,-0.02
198107,0.07,-0.19
198108,0.35,-0.12
198109,0.30,-0.04
198110,0.25,-0.16
198111,0.71,0.07
198112,0.14,-1.09
198201,1.89,0.35
198202,1.07,-0.50
198203,2.50,1.19
198204,0.52,-0.01
198205,0.39,0.23
198206,0.01,-0.02
198207,0.38,0.12
198208,0.64,0.17
198209,0.71,0.37
198210,0.09,-0.32
198211,1.61,0.97
198212,2.32,1.09
198301,1.54,0.00
198302,2.42,0.85
198303,4.92,3.61
198304,1.16,0.63
198305,0.12,-0.04
198306,0.00,-0.03
198307,0.00,-0.26
198308,2.12,1.65
198309,1.02,0.68
198310,0.81,0.40
198311,0.99,0.35
198312,1.85,0.62
198401,0.16,-1.38
198402,0.01,-1.56
198403,0.03,-1.28
198404,0.16,-0.37
198405,0.05,-0.11
198406,0.02,-0.01
198407,1.20,0.94
198408,0.77,0.30
198409,0.31,-0.03
198410,0.07,-0.34
198411,1.13,0.49
198412,3.69,2.46
198501,0.66,-0.88
198502,0.57,-1.00
198503,0.39,-0.92
198504,0.07,-0.46
198505,0.00,-0.16
198506,0.01,-0.02
198507,0.42,0.16
198508,0.00,-0.47
198509,0.86,0.52
198510,0.31,-0.10
198511,2.58,1.94
198512,0.58,-0.65
198601,0.61,-0.93
198602,2.51,0.94
198603,1.77,0.46
198604,0.24,-0.29
198605,0.00,-0.16
198606,0.00,-0.03
198607,0.62,0.36
198608,0.22,-0.25
198609,0.41,0.07
198610,0.82,0.41
198611,0.56,-0.08
198612,0.63,-0.60
198701,0.82,-0.72
198702,0.87,-0.70
198703,0.69,-0.62
198704,0.07,-0.46
198705,0.10,-0.06
198706,0.04,0.01
198707,0.15,-0.11
198708,0.08,-0.39
198709,0.14,-0.20
198710,1.81,1.40
198711,1.55,0.91
198712,1.49,0.26
198801,1.58,0.04
198802,1.20,-0.37
198803,0.18,-1.13
198804,1.39,0.86
198805,0.05,-0.11
198806,0.04,0.01
198807,0.05,-0.21
198808,1.04,0.57
198809,0.05,-0.29
198810,0.02,-0.39
198811,0.28,-0.36
198812,0.99,-0.24
198901,1.42,-0.12
198902,0.51,-1.06
198903,0.46,-0.85
198904,0.04,-0.49
198905,0.06,-0.10
198906,0.00,-0.03
198907,0.08,-0.18
198908,0.38,-0.09
198909,0.21,-0.13
198910,0.15,-0.26
198911,0.04,-0.60
198912,0.06,-1.17
199001,1.10,-0.44
199002,0.93,-0.64
199003,0.28,-1.03
199004,0.36,-0.17
199005,0.31,0.15
199006,0.14,0.11
199007,0.22,-0.04
199008,0.57,0.10
199009,0.31,-0.03
199010,0.17,-0.24
199011,0.21,-0.43
199012,0.10,-1.13
199101,1.06,-0.48
199102,1.95,0.38
199103,4.97,3.66
199104,0.01,-0.52
199105,0.01,-0.15
199106,0.00,-0.03
199107,0.29,0.03
199108,0.30,-0.17
199109,0.67,0.33
199110,0.28,-0.13
199111,0.07,-0.57
199112,1.31,0.08
199201,1.20,-0.34
199202,3.92,2.35
199203,3.69,2.38
199204,0.66,0.13
199205,0.41,0.25
199206,0.00,-0.03
199207,0.09,-0.17
199208,0.75,0.28
199209,0.00,-0.34
199210,0.76,0.35
199211,0.00,-0.64
199212,3.09,1.86
199301,7.89,6.35
199302,4.54,2.97
199303,0.69,-0.62
199304,0.00,-0.53
199305,0.14,-0.02
199306,0.13,0.10
199307,0.00,-0.26
199308,0.37,-0.10
199309,0.00,-0.34
199310,0.09,-0.32
199311,0.87,0.23
199312,0.31,-0.92
199401,0.32,-1.22
199402,1.94,0.37
199403,1.86,0.55
199404,0.40,-0.13
199405,0.23,0.07
199406,0.00,-0.03
199407,0.13,-0.13
199408,0.30,-0.17
199409,0.01,-0.33
199410,0.16,-0.25
