,Value,Anomaly,year,Month,county
222,69.9,0.8,1913,July,Alameda
223,71.2,2.3,1913,August,Alameda
224,69.4,2.2,1913,September,Alameda
225,62.6,1.1,1913,October,Alameda
226,52.7,-0.4,1913,November,Alameda
227,46.4,-0.7,1913,December,Alameda
228,48.3,1.9,1914,January,Alameda
229,49.3,-0.2,1914,February,Alameda
230,55.2,3.3,1914,March,Alameda
231,56.0,0.8,1914,April,Alameda
232,59.6,-0.2,1914,May,Alameda
233,62.7,-2.3,1914,June,Alameda
234,67.3,-1.8,1914,July,Alameda
235,67.6,-1.3,1914,August,Alameda
236,64.7,-2.5,1914,September,Alameda
237,61.3,-0.2,1914,October,Alameda
238,54.4,1.3,1914,November,Alameda
239,44.5,-2.6,1914,December,Alameda
240,46.1,-0.3,1915,January,Alameda
241,48.8,-0.7,1915,February,Alameda
242,53.7,1.8,1915,March,Alameda
243,55.1,-0.1,1915,April,Alameda
244,56.1,-3.7,1915,May,Alameda
245,63.3,-1.7,1915,June,Alameda
246,68.0,-1.1,1915,July,Alameda
247,69.5,0.6,1915,August,Alameda
248,65.8,-1.4,1915,September,Alameda
249,61.6,0.1,1915,October,Alameda
250,52.2,-0.9,1915,November,Alameda
251,48.2,1.1,1915,December,Alameda
252,43.3,-3.1,1916,January,Alameda
253,51.7,2.2,1916,February,Alameda
254,52.6,0.7,1916,March,Alameda
255,56.0,0.8,1916,April,Alameda
256,56.9,-2.9,1916,May,Alameda
257,62.4,-2.6,1916,June,Alameda
258,67.9,-1.2,1916,July,Alameda
259,65.8,-3.1,1916,August,Alameda
260,64.8,-2.4,1916,September,Alameda
261,55.6,-5.9,1916,October,Alameda
262,50.2,-2.9,1916,November,Alameda
263,44.2,-2.9,1916,December,Alameda
264,42.8,-3.6,1917,January,Alameda
265,48.4,-1.1,1917,February,Alameda
266,46.9,-5.0,1917,March,Alameda
267,53.6,-1.6,1917,April,Alameda
268,54.7,-5.1,1917,May,Alameda
269,63.8,-1.2,1917,June,Alameda
270,71.2,2.1,1917,July,Alameda
271,65.5,-3.4,1917,August,Alameda
272,67.0,-0.2,1917,September,Alameda
273,62.4,0.9,1917,October,Alameda
274,54.4,1.3,1917,November,Alameda
275,50.4,3.3,1917,December,Alameda
276,47.8,1.4,1918,January,Alameda
277,48.4,-1.1,1918,February,Alameda
278,51.9,0.0,1918,March,Alameda
279,55.1,-0.1,1918,April,Alameda
280,56.6,-3.2,1918,May,Alameda
281,68.5,3.5,1918,June,Alameda
282,67.0,-2.1,1918,July,Alameda
283,69.2,0.3,1918,August,Alameda
284,65.5,-1.7,1918,September,Alameda
285,62.6,1.1,1918,October,Alameda
286,50.3,-2.8,1918,November,Alameda
287,43.8,-3.3,1918,December,Alameda
288,46.1,-0.3,1919,January,Alameda
289,47.3,-2.2,1919,February,Alameda
290,49.3,-2.6,1919,March,Alameda
291,54.8,-0.4,1919,April,Alameda
292,59.8,0.0,1919,May,Alameda
293,63.1,-1.9,1919,June,Alameda
294,66.5,-2.6,1919,July,Alameda
295,67.6,-1.3,1919,August,Alameda
296,65.4,-1.8,1919,September,Alameda
297,58.2,-3.3,1919,October,Alameda
298,51.0,-2.1,1919,November,Alameda
299,45.9,-1.2,1919,December,Alameda
300,47.9,1.5,1920,January,Alameda
301,49.0,-0.5,1920,February,Alameda
302,48.8,-3.1,1920,March,Alameda
303,53.8,-1.4,1920,April,Alameda
304,58.9,-0.9,1920,May,Alameda
305,64.9,-0.1,1920,June,Alameda
306,66.5,-2.6,1920,July,Alameda
307,69.8,0.9,1920,August,Alameda
308,64.7,-2.5,1920,September,Alameda
309,57.9,-3.6,1920,October,Alameda
310,51.4,-1.7,1920,November,Alameda
311,46.6,-0.5,1920,December,Alameda
312,45.7,-0.7,1921,January,Alameda
313,49.6,0.1,1921,February,Alameda
314,51.9,0.0,1921,March,Alameda
315,54.4,-0.8,1921,April,Alameda
316,56.8,-3.0,1921,May,Alameda
317,66.5,1.5,1921,June,Alameda
318,69.1,0.0,1921,July,Alameda
319,66.9,-2.0,1921,August,Alameda
320,66.1,-1.1,1921,September,Alameda
321,61.4,-0.1,1921,October,Alameda
322,53.6,0.5,1921,November,Alameda
323,48.4,1.3,1921,December,Alameda
324,41.0,-5.4,1922,January,Alameda
325,45.6,-3.9,1922,February,Alameda
326,48.5,-3.4,1922,March,Alameda
327,51.2,-4.0,1922,April,Alameda
328,59.7,-0.1,1922,May,Alameda
329,64.9,-0.1,1922,June,Alameda
330,69.1,0.0,1922,July,Alameda
331,67.4,-1.5,1922,August,Alameda
332,69.3,2.1,1922,September,Alameda
333,59.3,-2.2,1922,October,Alameda
334,49.5,-3.6,1922,November,Alameda
335,46.9,-0.2,1922,December,Alameda
336,43.6,-2.8,1923,January,Alameda
337,46.9,-2.6,1923,February,Alameda
338,52.9,1.0,1923,March,Alameda
339,53.6,-1.6,1923,April,Alameda
340,58.6,-1.2,1923,May,Alameda
341,60.7,-4.3,1923,June,Alameda
342,67.3,-1.8,1923,July,Alameda
343,68.4,-0.5,1923,August,Alameda
344,68.6,1.4,1923,September,Alameda
345,60.9,-0.6,1923,October,Alameda
346,56.5,3.4,1923,November,Alameda
347,46.1,-1.0,1923,December,Alameda
348,45.0,-1.4,1924,January,Alameda
349,52.9,3.4,1924,February,Alameda
350,50.8,-1.1,1924,March,Alameda
351,56.7,1.5,1924,April,Alameda
352,62.4,2.6,1924,May,Alameda
353,65.2,0.2,1924,June,Alameda
354,66.3,-2.8,1924,July,Alameda
355,67.5,-1.4,1924,August,Alameda
356,66.5,-0.7,1924,September,Alameda
357,58.4,-3.1,1924,October,Alameda
358,52.6,-0.5,1924,November,Alameda
359,44.0,-3.1,1924,December,Alameda
360,47.2,0.8,1925,January,Alameda
361,51.6,2.1,1925,February,Alameda
362,51.8,-0.1,1925,March,Alameda
363,55.0,-0.2,1925,April,Alameda
364,60.0,0.2,1925,May,Alameda
365,64.8,-0.2,1925,June,Alameda
366,69.4,0.3,1925,July,Alameda
367,66.6,-2.3,1925,August,Alameda
368,63.7,-3.5,1925,September,Alameda
369,59.9,-1.6,1925,October,Alameda
370,52.2,-0.9,1925,November,Alameda
371,47.4,0.3,1925,December,Alameda
372,43.7,-2.7,1926,January,Alameda
373,51.5,2.0,1926,February,Alameda
374,56.4,4.5,1926,March,Alameda
375,59.7,4.5,1926,April,Alameda
376,61.6,1.8,1926,May,Alameda
377,66.2,1.2,1926,June,Alameda
378,70.1,1.0,1926,July,Alameda
379,68.2,-0.7,1926,August,Alameda
380,63.6,-3.6,1926,September,Alameda
381,62.6,1.1,1926,October,Alameda
382,58.0,4.9,1926,November,Alameda
383,46.6,-0.5,1926,December,Alameda
384,47.8,1.4,1927,January,Alameda
385,50.4,0.9,1927,February,Alameda
386,50.4,-1.5,1927,March,Alameda
387,53.6,-1.6,1927,April,Alameda
388,58.8,-1.0,1927,May,Alameda
389,64.6,-0.4,1927,June,Alameda
390,68.2,-0.9,1927,July,Alameda
391,66.7,-2.2,1927,August,Alameda
392,64.6,-2.6,1927,September,Alameda
393,62.0,0.5,1927,October,Alameda
394,54.6,1.5,1927,November,Alameda
395,46.8,-0.3,1927,December,Alameda
396,46.5,0.1,1928,January,Alameda
397,50.2,0.7,1928,February,Alameda
398,54.8,2.9,1928,March,Alameda
399,55.1,-0.1,1928,April,Alameda
400,61.5,1.7,1928,May,Alameda
401,65.2,0.2,1928,June,Alameda
402,67.3,-1.8,1928,July,Alameda
403,67.0,-1.9,1928,August,Alameda
404,66.1,-1.1,1928,September,Alameda
405,59.2,-2.3,1928,October,Alameda
406,51.9,-1.2,1928,November,Alameda
407,44.2,-2.9,1928,December,Alameda
408,43.0,-3.4,1929,January,Alameda
409,47.0,-2.5,1929,February,Alameda
410,51.0,-0.9,1929,March,Alameda
411,51.5,-3.7,1929,April,Alameda
412,58.8,-1.0,1929,May,Alameda
413,65.6,0.6,1929,June,Alameda
414,68.3,-0.8,1929,July,Alameda
415,69.2,0.3,1929,August,Alameda
416,65.6,-1.6,1929,September,Alameda
417,62.6,1.1,1929,October,Alameda
418,53.8,0.7,1929,November,Alameda
419,50.6,3.5,1929,December,Alameda
420,45.4,-1.0,1930,January,Alameda
421,52.1,2.6,1930,February,Alameda
422,53.4,1.5,1930,March,Alameda
423,56.6,1.4,1930,April,Alameda
424,56.3,-3.5,1930,May,Alameda
425,64.6,-0.4,1930,June,Alameda
426,66.5,-2.6,1930,July,Alameda
427,67.2,-1.7,1930,August,Alameda
428,63.7,-3.5,1930,September,Alameda
429,61.0,-0.5,1930,October,Alameda
430,52.4,-0.7,1930,November,Alameda
431,45.8,-1.3,1930,December,Alameda
432,47.5,1.1,1931,January,Alameda
433,51.8,2.3,1931,February,Alameda
434,53.7,1.8,1931,March,Alameda
435,57.4,2.2,1931,April,Alameda
436,64.4,4.6,1931,May,Alameda
437,64.8,-0.2,1931,June,Alameda
438,72.5,3.4,1931,July,Alameda
439,69.8,0.9,1931,August,Alameda
440,65.7,-1.5,1931,September,Alameda
441,59.5,-2.0,1931,October,Alameda
442,50.4,-2.7,1931,November,Alameda
443,45.3,-1.8,1931,December,Alameda
444,45.0,-1.4,1932,January,Alameda
445,46.8,-2.7,1932,February,Alameda
446,53.5,1.6,1932,March,Alameda
447,53.3,-1.9,1932,April,Alameda
448,59.6,-0.2,1932,May,Alameda
449,64.7,-0.3,1932,June,Alameda
450,68.1,-1.0,1932,July,Alameda
451,68.4,-0.5,1932,August,Alameda
452,68.4,1.2,1932,September,Alameda
453,61.5,0.0,1932,October,Alameda
454,57.1,4.0,1932,November,Alameda
455,42.8,-4.3,1932,December,Alameda
456,43.1,-3.3,1933,January,Alameda
457,46.2,-3.3,1933,February,Alameda
458,51.9,0.0,1933,March,Alameda
459,54.2,-1.0,1933,April,Alameda
460,55.8,-4.0,1933,May,Alameda
461,62.3,-2.7,1933,June,Alameda
462,70.2,1.1,1933,July,Alameda
463,68.6,-0.3,1933,August,Alameda
464,64.9,-2.3,1933,September,Alameda
465,64.5,3.0,1933,October,Alameda
466,55.1,2.0,1933,November,Alameda
467,46.9,-0.2,1933,December,Alameda
468,47.9,1.5,1934,January,Alameda
469,51.6,2.1,1934,February,Alameda
470,57.6,5.7,1934,March,Alameda
471,58.7,3.5,1934,April,Alameda
472,62.3,2.5,1934,May,Alameda
473,64.9,-0.1,1934,June,Alameda
474,68.2,-0.9,1934,July,Alameda
475,68.4,-0.5,1934,August,Alameda
476,67.3,0.1,1934,September,Alameda
477,61.2,-0.3,1934,October,Alameda
478,54.6,1.5,1934,November,Alameda
479,48.0,0.9,1934,December,Alameda
480,45.9,-0.5,1935,January,Alameda
481,48.3,-1.2,1935,February,Alameda
482,47.3,-4.6,1935,March,Alameda
483,54.7,-0.5,1935,April,Alameda
484,58.7,-1.1,1935,May,Alameda
485,66.1,1.1,1935,June,Alameda
486,67.8,-1.3,1935,July,Alameda
487,68.3,-0.6,1935,August,Alameda
488,65.1,-2.1,1935,September,Alameda
489,58.7,-2.8,1935,October,Alameda
490,50.1,-3.0,1935,November,Alameda
491,47.7,0.6,1935,December,Alameda
492,49.5,3.1,1936,January,Alameda
493,49.2,-0.3,1936,February,Alameda
494,53.2,1.3,1936,March,Alameda
495,56.0,0.8,1936,April,Alameda
496,62.5,2.7,1936,May,Alameda
497,66.2,1.2,1936,June,Alameda
498,70.5,1.4,1936,July,Alameda
499,69.8,0.9,1936,August,Alameda
500,68.6,1.4,1936,September,Alameda
501,62.8,1.3,1936,October,Alameda
502,53.0,-0.1,1936,November,Alameda
503,46.0,-1.1,1936,December,Alameda
504,39.6,-6.8,1937,January,Alameda
505,46.8,-2.7,1937,February,Alameda
506,52.1,0.2,1937,March,Alameda
507,53.4,-1.8,1937,April,Alameda
508,60.4,0.6,1937,May,Alameda
509,66.1,1.1,1937,June,Alameda
510,70.2,1.1,1937,July,Alameda
511,69.5,0.6,1937,August,Alameda
512,66.8,-0.4,1937,September,Alameda
513,62.8,1.3,1937,October,Alameda
514,54.9,1.8,1937,November,Alameda
515,49.2,2.1,1937,December,Alameda
516,46.7,0.3,1938,January,Alameda
517,49.1,-0.4,1938,February,Alameda
518,49.4,-2.5,1938,March,Alameda
519,53.6,-1.6,1938,April,Alameda
520,60.3,0.5,1938,May,Alameda
521,64.9,-0.1,1938,June,Alameda
522,69.4,0.3,1938,July,Alameda
523,68.0,-0.9,1938,August,Alameda
524,67.3,0.1,1938,September,Alameda
525,60.0,-1.5,1938,October,Alameda
526,51.4,-1.7,1938,November,Alameda
527,48.7,1.6,1938,December,Alameda
528,47.0,0.6,1939,January,Alameda
529,46.6,-2.9,1939,February,Alameda
530,50.4,-1.5,1939,March,Alameda
531,57.3,2.1,1939,April,Alameda
532,60.9,1.1,1939,May,Alameda
533,65.1,0.1,1939,June,Alameda
534,68.9,-0.2,1939,July,Alameda
535,68.5,-0.4,1939,August,Alameda
536,69.9,2.7,1939,September,Alameda
537,61.7,0.2,1939,October,Alameda
538,54.2,1.1,1939,November,Alameda
539,50.2,3.1,1939,December,Alameda
540,48.8,2.4,1940,January,Alameda
541,51.7,2.2,1940,February,Alameda
542,54.1,2.2,1940,March,Alameda
543,56.4,1.2,1940,April,Alameda
544,60.9,1.1,1940,May,Alameda
545,66.9,1.9,1940,June,Alameda
546,68.7,-0.4,1940,July,Alameda
547,68.4,-0.5,1940,August,Alameda
548,66.6,-0.6,1940,September,Alameda
549,61.7,0.2,1940,October,Alameda
550,52.3,-0.8,1940,November,Alameda
551,50.9,3.8,1940,December,Alameda
552,49.6,3.2,1941,January,Alameda
553,51.5,2.0,1941,February,Alameda
554,54.5,2.6,1941,March,Alameda
555,53.9,-1.3,1941,April,Alameda
556,61.9,2.1,1941,May,Alameda
557,64.1,-0.9,1941,June,Alameda
558,70.2,1.1,1941,July,Alameda
559,67.3,-1.6,1941,August,Alameda
560,66.2,-1.0,1941,September,Alameda
561,59.8,-1.7,1941,October,Alameda
562,54.2,1.1,1941,November,Alameda
563,49.2,2.1,1941,December,Alameda
564,46.6,0.2,1942,January,Alameda
565,48.3,-1.2,1942,February,Alameda
566,50.8,-1.1,1942,March,Alameda
567,53.4,-1.8,1942,April,Alameda
568,57.7,-2.1,1942,May,Alameda
569,64.2,-0.8,1942,June,Alameda
570,69.5,0.4,1942,July,Alameda
571,68.9,0.0,1942,August,Alameda
572,65.8,-1.4,1942,September,Alameda
573,61.5,0.0,1942,October,Alameda
574,52.6,-0.5,1942,November,Alameda
575,48.2,1.1,1942,December,Alameda
576,47.7,1.3,1943,January,Alameda
577,50.4,0.9,1943,February,Alameda
578,52.8,0.9,1943,March,Alameda
579,55.6,0.4,1943,April,Alameda
580,61.4,1.6,1943,May,Alameda
581,62.4,-2.6,1943,June,Alameda
582,68.5,-0.6,1943,July,Alameda
583,67.6,-1.3,1943,August,Alameda
584,68.5,1.3,1943,September,Alameda
585,60.9,-0.6,1943,October,Alameda
586,54.1,1.0,1943,November,Alameda
587,49.1,2.0,1943,December,Alameda
588,47.8,1.4,1944,January,Alameda
589,47.5,-2.0,1944,February,Alameda
590,52.4,0.5,1944,March,Alameda
591,52.2,-3.0,1944,April,Alameda
592,60.0,0.2,1944,May,Alameda
593,62.7,-2.3,1944,June,Alameda
594,67.1,-2.0,1944,July,Alameda
595,68.1,-0.8,1944,August,Alameda
596,68.3,1.1,1944,September,Alameda
597,62.4,0.9,1944,October,Alameda
598,51.3,-1.8,1944,November,Alameda
599,48.8,1.7,1944,December,Alameda
600,45.0,-1.4,1945,January,Alameda
601,49.4,-0.1,1945,February,Alameda
602,48.1,-3.8,1945,March,Alameda
603,55.1,-0.1,1945,April,Alameda
604,58.3,-1.5,1945,May,Alameda
605,66.8,1.8,1945,June,Alameda
606,70.6,1.5,1945,July,Alameda
607,68.2,-0.7,1945,August,Alameda
608,68.6,1.4,1945,September,Alameda
609,63.0,1.5,1945,October,Alameda
610,52.2,-0.9,1945,November,Alameda
611,48.6,1.5,1945,December,Alameda
612,46.4,0.0,1946,January,Alameda
613,46.5,-3.0,1946,February,Alameda
614,50.8,-1.1,1946,March,Alameda
615,55.2,0.0,1946,April,Alameda
616,59.2,-0.6,1946,May,Alameda
617,63.7,-1.3,1946,June,Alameda
618,69.0,-0.1,1946,July,Alameda
619,67.4,-1.5,1946,August,Alameda
620,66.8,-0.4,1946,September,Alameda
621,59.0,-2.5,1946,October,Alameda
622,50.3,-2.8,1946,November,Alameda
623,47.0,-0.1,1946,December,Alameda
624,42.6,-3.8,1947,January,Alameda
625,50.0,0.5,1947,February,Alameda
626,53.4,1.5,1947,March,Alameda
627,57.8,2.6,1947,April,Alameda
628,62.6,2.8,1947,May,Alameda
629,67.0,2.0,1947,June,Alameda
630,67.2,-1.9,1947,July,Alameda
631,68.2,-0.7,1947,August,Alameda
632,67.9,0.7,1947,September,Alameda
633,61.2,-0.3,1947,October,Alameda
634,49.7,-3.4,1947,November,Alameda
635,45.9,-1.2,1947,December,Alameda
636,49.0,2.6,1948,January,Alameda
637,46.6,-2.9,1948,February,Alameda
638,48.6,-3.3,1948,March,Alameda
639,52.1,-3.1,1948,April,Alameda
640,57.0,-2.8,1948,May,Alameda
641,64.0,-1.0,1948,June,Alameda
642,67.9,-1.2,1948,July,Alameda
643,67.9,-1.0,1948,August,Alameda
644,65.8,-1.4,1948,September,Alameda
645,60.5,-1.0,1948,October,Alameda
646,51.8,-1.3,1948,November,Alameda
647,42.8,-4.3,1948,December,Alameda
648,39.2,-7.2,1949,January,Alameda
649,44.5,-5.0,1949,February,Alameda
650,51.0,-0.9,1949,March,Alameda
651,56.5,1.3,1949,April,Alameda
652,59.8,0.0,1949,May,Alameda
653,66.4,1.4,1949,June,Alameda
654,67.9,-1.2,1949,July,Alameda
655,66.5,-2.4,1949,August,Alameda
656,67.6,0.4,1949,September,Alameda
657,59.6,-1.9,1949,October,Alameda
658,56.5,3.4,1949,November,Alameda
659,44.9,-2.2,1949,December,Alameda
660,42.6,-3.8,1950,January,Alameda
661,48.1,-1.4,1950,February,Alameda
662,50.3,-1.6,1950,March,Alameda
663,57.1,1.9,1950,April,Alameda
664,59.7,-0.1,1950,May,Alameda
665,63.1,-1.9,1950,June,Alameda
666,70.2,1.1,1950,July,Alameda
667,70.5,1.6,1950,August,Alameda
668,68.2,1.0,1950,September,Alameda
669,61.7,0.2,1950,October,Alameda
670,57.2,4.1,1950,November,Alameda
671,50.5,3.4,1950,December,Alameda
672,46.5,0.1,1951,January,Alameda
673,48.1,-1.4,1951,February,Alameda
674,50.7,-1.2,1951,March,Alameda
675,54.1,-1.1,1951,April,Alameda
676,60.8,1.0,1951,May,Alameda
